potds,score
80,89
73,74
110,79
46,74
102,99
87,85
29,43
64,89
97,93
37,55
70,65
83,89
105,70
57,56
78,72
3,41
87,87
43,58
109,100
80,54
34,70
50,82
89,83
34,51
96,93
84,54
76,86
95,91
103,95
58,64
99,60
50,61
78,64
125,88
70,84
12,58
55,62
95,71
96,64
58,45
70,82
79,99
118,83
49,48
80,84
58,67
53,73
19,45
20,45
48,52
103,75
110,78
71,54
54,40
29,50
88,69
45,57
84,83
113,90
131,94
53,47
112,64
45,57
65,46
41,46
100,99
96,82
95,67
56,53
36,68
50,81
83,70
72,47
104,71
69,81
57,65
44,48
103,79
122,95
113,90
72,54
26,65
106,78
49,52
91,63
106,68
64,95
67,54
110,99
62,74
106,86
80,52
63,65
134,98
105,87
100,99
73,81
90,99
68,88
99,86
89,58
20,48
58,40
94,54
82,99
55,77
56,82
81,100
90,78
43,75
