potds,score
100,89
84,86
73,66
63,99
93,98
43,65
73,95
103,55
58,69
77,83
99,93
20,58
83,71
85,84
84,94
34,86
77,59
124,95
60,61
43,70
53,77
34,82
67,95
98,89
82,95
48,55
80,74
74,59
48,63
16,60
61,62
47,86
49,70
39,64
112,87
79,63
103,86
103,83
103,94
91,70
88,61
86,65
69,64
65,55
104,100
70,64
61,80
65,56
53,56
88,66
100,86
71,83
45,86
103,88
30,55
49,64
39,57
69,98
77,79
80,94
24,61
104,75
120,84
77,68
93,75
87,77
85,70
60,75
69,77
112,93
39,74
66,91
91,72
81,69
84,80
90,85
97,80
60,93
112,88
36,66
61,62
88,57
86,76
80,75
78,93
54,63
112,67
41,63
88,92
43,76
48,57
90,61
59,61
82,68
66,97
127,96
90,65
108,99
74,62
78,75
71,97
63,97
92,98
128,84
81,89
70,95
84,71
40,69
37,61
117,85
57,80
102,81
53,83
90,96
40,72
105,70
53,60
117,78
63,71
122,99
26,55
73,59
111,93
58,60
116,80
126,82
74,76
74,91
102,89
83,58
54,85
104,86
92,85
63,61
101,92
82,80
104,90
115,76
52,91
69,66
62,99
79,89
122,84
113,85
56,63
86,66
73,67
66,94
62,86
48,64
32,72
113,95
36,66
49,69
57,62
60,67
51,85
97,84
99,100
114,96
38,82
73,69
62,63
127,86
69,97
116,91
45,71
56,77
103,100
111,74
78,71
50,61
66,81
67,78
86,65
48,92
108,78
87,69
71,88
77,62
82,59
51,60
41,77
89,75
120,95
89,100
19,56
59,69
102,75
77,92
85,81
103,86
59,82
72,99
94,96
89,87
38,75
48,57
123,91
87,94
97,78
67,94
125,100
83,91
87,75
104,95
67,94
52,78
63,96
67,100
89,96
130,100
45,76
106,96
53,89
54,60
49,86
80,94
61,90
42,92
104,84
64,76
106,98
27,56
72,71
70,74
94,86
80,73
68,58
95,80
100,66
59,80
27,60
63,72
40,80
97,67
39,59
92,63
49,56
54,64
12,55
91,88
104,84
109,88
59,56
96,74
45,55
103,91
74,92
46,55
52,72
85,61
47,60
116,78
59,60
89,76
125,91
99,70
101,83
107,91
102,83
68,56
65,78
31,55
93,65
50,70
79,76
92,86
52,92
72,81
61,68
45,62
87,56
51,87
51,60
84,72
28,71
121,75
126,84
88,56
93,84
94,83
58,67
48,88
71,95
102,93
49,67
66,99
81,73
88,57
66,61
89,79
101,83
114,85
86,70
123,83
69,92
32,57
91,97
49,89
45,68
129,100
56,57
94,83
64,65
79,79
94,85
59,70
78,94
38,58
57,77
98,98
75,93
53,61
107,90
107,91
58,55
114,83
75,83
118,82
86,73
59,57
52,67
91,75
67,60
61,77
68,95
112,86
37,76
124,86
43,85
50,58
92,78
77,57
66,62
85,89
115,93
51,59
89,78
65,73
106,100
64,83
69,72
89,82
88,76
89,89
64,78
87,73
92,68
100,93
59,70
52,63
45,55
68,59
83,59
109,100
103,74
83,77
108,87
100,96
58,78
46,59
106,96
61,75
104,70
76,80
98,71
95,86
120,93
114,75
84,89
66,61
93,62
63,95
47,85
72,68
38,66
