potds,score
72,63
36,72
95,61
74,97
63,71
70,78
101,84
63,80
116,94
55,69
55,66
94,80
89,89
91,99
86,93
86,80
25,55
74,82
75,66
83,55
84,94
86,68
101,89
48,65
84,66
53,64
99,98
106,93
99,71
99,66
95,90
79,63
69,98
78,89
94,97
54,75
113,83
124,100
50,73
94,81
62,74
92,91
75,77
77,85
76,61
112,90
61,85
107,90
71,61
43,71
58,61
38,84
101,87
104,99
69,78
64,87
81,97
113,98
115,100
65,80
103,98
77,75
81,77
35,77
59,73
94,100
64,85
74,65
78,65
49,57
92,76
65,57
31,58
54,69
78,74
103,98
99,73
100,93
82,92
60,74
76,82
69,92
72,85
74,82
91,77
97,97
109,85
102,98
72,71
68,96
72,92
67,56
96,83
74,60
68,80
67,73
49,67
35,71
45,66
75,93
86,62
82,57
53,67
61,62
67,93
102,94
121,100
40,60
46,59
60,60
56,79
48,81
115,97
72,78
52,95
129,90
56,67
66,87
70,59
91,99
114,95
78,93
95,91
52,79
112,91
71,98
90,96
43,58
31,66
64,89
85,57
115,73
86,87
80,77
54,81
67,58
58,61
63,93
88,90
112,100
73,73
60,73
14,60
101,94
70,56
68,58
69,87
54,68
94,95
109,90
99,89
39,70
60,61
84,73
44,56
109,84
112,68
65,58
25,73
60,75
98,98
59,79
106,62
54,87
97,88
46,56
124,76
65,60
97,65
51,88
116,100
87,100
31,66
115,83
98,85
90,57
112,95
64,61
120,88
49,92
94,96
61,70
49,60
60,73
81,63
113,87
63,68
79,69
58,87
51,85
57,83
48,75
44,91
30,68
65,64
113,80
62,84
46,57
86,70
107,95
100,89
119,97
48,77
122,88
87,91
117,94
90,99
82,89
93,91
87,61
88,91
66,94
57,78
83,69
63,81
70,90
35,58
103,88
60,83
116,97
48,61
56,59
80,77
73,91
76,66
77,64
75,64
79,87
57,74
100,81
78,55
61,88
76,82
67,75
59,91
108,79
57,86
62,62
93,84
119,92
117,96
57,74
54,62
60,67
100,87
73,75
110,99
101,74
32,70
107,82
71,59
64,98
78,67
96,67
60,90
134,98
94,89
38,67
98,88
58,85
44,70
60,65
75,60
87,73
64,90
86,90
33,73
106,100
70,88
52,78
91,96
108,80
62,61
76,91
105,78
127,89
75,57
71,98
41,57
53,79
111,96
68,56
111,73
91,68
71,64
81,69
85,82
47,62
90,84
77,61
89,98
69,96
70,78
41,71
98,79
58,96
85,57
77,59
89,64
78,83
41,85
53,63
71,73
67,74
71,67
44,87
73,85
113,77
85,61
62,71
118,96
41,69
123,87
98,87
60,79
113,92
105,85
75,89
113,98
58,99
103,88
57,62
83,62
63,64
107,82
82,88
77,98
116,89
86,76
114,97
78,91
114,94
78,90
72,96
73,55
89,96
57,67
95,76
56,75
32,55
43,60
64,78
56,100
92,85
71,55
56,61
60,99
63,85
81,58
51,59
66,72
78,65
41,77
83,81
68,69
64,73
18,57
117,85
62,64
79,69
89,79
57,85
82,58
112,91
22,60
87,75
35,70
67,89
89,73
67,74
51,55
82,88
74,94
42,92
69,68
83,70
36,72
78,79
64,64
41,58
67,77
107,99
63,97
49,76
61,78
83,77
68,78
46,63
47,63
89,83
75,94
103,98
51,80
59,67
112,73
105,77
74,85
87,75
72,57
71,68
113,99
60,88
119,93
49,90
120,100
70,65
79,61
30,55
65,82
120,82
87,76
83,100
62,55
41,69
105,87
96,100
112,75
98,69
105,77
88,61
92,84
67,75
97,87
61,86
39,58
24,59
103,89
38,68
34,67
48,67
74,66
66,89
73,97
56,91
84,61
94,78
117,70
94,75
72,94
88,82
101,60
71,75
106,91
56,68
78,79
81,59
72,63
87,78
73,88
106,81
98,100
96,95
95,83
51,69
103,79
90,99
57,92
103,74
108,95
60,92
72,64
49,73
106,100
50,70
53,91
108,86
62,88
115,96
41,65
93,100
49,81
31,69
49,61
70,63
123,88
46,75
54,79
131,89
70,55
66,77
52,61
70,76
27,63
108,87
52,60
107,92
45,57
115,91
103,69
126,80
20,62
59,98
54,59
54,86
112,77
56,58
42,75
67,73
32,56
105,100
53,84
127,89
91,86
118,92
84,89
108,100
85,83
61,58
82,91
34,60
35,69
62,83
57,86
47,70
49,72
52,92
31,73
80,73
100,98
57,84
57,69
46,61
117,98
48,85
89,87
99,90
40,59
89,67
42,55
72,61
104,93
121,93
80,71
28,56
116,94
68,69
54,59
86,100
83,93
53,92
24,56
77,95
55,80
59,88
58,88
47,79
68,67
109,70
45,56
72,82
73,56
85,92
99,81
65,67
110,90
96,98
93,93
70,62
66,83
60,64
104,89
119,76
95,69
98,85
96,85
75,56
38,76
