potds,score
72,63
74,97
63,71
101,84
94,80
84,94
99,66
62,74
107,90
71,61
82,92
69,92
109,85
102,98
49,67
75,93
53,67
67,93
121,100
60,60
115,97
114,95
43,58
58,61
99,89
46,56
65,60
90,57
64,61
120,88
94,96
63,68
79,69
58,87
30,68
65,64
62,84
82,89
87,61
57,78
103,88
116,97
48,61
77,64
75,64
79,87
76,82
75,60
64,90
86,90
111,73
77,61
53,63
73,85
41,69
60,79
114,94
78,90
43,60
56,61
41,77
64,73
89,73
51,55
41,58
107,99
61,78
46,63
87,75
70,65
65,82
24,59
103,89
73,97
84,61
78,79
73,88
103,79
90,99
103,74
60,92
41,65
66,77
70,76
107,92
56,58
42,75
67,73
84,89
34,60
35,69
47,70
99,90
40,59
80,71
73,56
110,90
96,98
93,93
119,76
96,85
59,83
112,67
76,62
122,87
91,99
94,98
74,95
83,86
86,68
45,98
71,92
99,70
76,77
44,69
121,93
59,94
69,67
30,62
69,67
65,61
80,76
71,94
62,59
103,71
99,99
58,92
101,80
70,62
107,70
71,87
99,88
62,80
41,59
