potds,score
72,49
36,71
95,79
74,79
63,57
70,65
101,91
63,91
116,83
55,87
55,61
94,85
89,92
91,92
86,77
86,81
25,52
74,100
75,71
83,52
84,95
86,72
101,84
48,46
84,63
53,45
99,90
106,91
99,82
99,77
95,97
79,46
69,100
78,74
94,82
54,89
113,69
124,95
50,79
94,86
62,54
92,93
75,68
77,100
76,75
112,100
61,71
107,100
71,54
43,72
58,43
38,72
101,99
104,100
69,82
64,76
81,100
113,100
115,100
65,94
103,91
77,70
81,90
35,61
59,92
94,100
64,100
74,61
78,53
49,43
92,94
65,40
31,39
54,87
78,59
103,88
99,91
100,78
82,92
60,91
76,98
69,75
72,100
74,100
91,82
97,100
109,90
102,100
72,52
68,81
72,87
67,46
96,98
74,57
68,72
67,80
49,71
35,51
45,52
75,96
86,61
82,76
53,76
61,46
67,86
102,100
121,93
40,73
46,53
60,56
56,85
48,68
115,98
72,92
52,89
129,100
56,73
66,82
70,72
91,100
114,80
78,100
95,92
52,92
112,100
71,100
90,94
43,52
31,50
64,78
85,74
115,85
86,95
80,84
54,69
67,70
58,42
63,100
88,93
112,100
73,80
60,69
14,40
101,88
70,54
68,47
69,89
54,54
94,83
109,75
99,88
39,70
60,42
84,92
44,70
109,87
112,85
65,65
25,57
60,65
98,78
59,67
106,75
54,73
97,76
46,45
124,95
65,49
97,69
51,74
116,83
87,91
31,65
115,82
98,72
90,60
112,78
64,52
120,92
49,72
94,82
61,86
49,79
60,86
81,74
113,100
63,61
79,69
58,73
51,80
57,91
48,68
44,80
30,54
65,83
113,98
62,94
46,71
86,75
107,76
100,100
119,100
48,67
122,100
87,78
117,100
90,84
82,74
93,71
87,59
88,89
66,100
57,84
83,88
63,96
70,91
35,39
103,100
60,96
116,100
48,73
56,49
80,86
73,89
76,48
77,77
75,51
79,75
57,83
100,91
78,71
61,72
76,100
67,77
59,100
108,92
57,94
62,64
93,82
119,96
117,99
57,77
54,52
60,67
100,71
73,92
110,100
101,88
32,65
107,100
71,44
64,100
78,73
96,69
60,84
134,100
94,94
38,55
98,91
58,82
44,53
60,73
75,66
87,54
64,93
86,100
33,63
106,100
70,100
52,58
91,100
108,99
62,70
76,90
105,85
127,98
75,39
71,95
41,69
53,94
111,90
68,38
111,71
91,64
71,55
81,63
85,80
47,47
90,100
77,55
89,91
69,86
70,93
41,72
98,75
58,88
85,60
77,59
89,70
78,84
41,67
53,45
71,69
67,81
71,83
44,77
73,89
113,86
85,50
