potds,score
72,49
74,79
63,57
101,91
94,85
84,95
99,77
62,54
107,100
71,54
82,92
69,75
109,90
102,100
49,71
75,96
53,76
67,86
121,93
60,56
115,98
114,80
43,52
58,42
99,88
46,45
65,49
90,60
64,52
120,92
94,82
63,61
79,69
58,73
30,54
65,83
62,94
82,74
87,59
57,84
103,100
116,100
48,73
77,77
75,51
79,75
76,100
75,66
64,93
86,100
111,71
77,55
53,45
73,89
41,66
60,86
114,84
78,100
43,40
56,58
41,65
64,81
89,61
51,52
41,66
107,87
61,68
46,76
87,75
70,49
65,95
24,49
103,100
73,100
84,77
78,90
73,74
103,66
90,80
103,77
60,76
41,47
66,91
70,63
107,75
56,76
42,83
67,82
84,83
34,61
35,65
47,69
99,88
40,57
80,90
73,58
110,89
96,86
93,95
119,93
96,69
59,90
112,84
76,50
122,100
91,100
94,87
74,85
83,84
86,63
45,78
71,99
99,83
76,90
44,85
121,100
59,93
69,77
30,52
69,78
65,47
80,71
71,85
62,41
103,86
99,85
58,75
101,75
70,62
107,75
71,77
99,100
62,72
41,56
