potds,score
72,49
100,78
74,79
43,70
63,57
101,91
103,72
73,58
77,73
94,85
99,87
83,74
81,94
67,89
84,95
80,89
48,54
103,78
103,100
74,100
99,77
104,89
61,91
100,80
88,80
100,95
62,54
69,78
80,84
61,65
61,79
107,100
71,54
24,45
77,53
77,75
108,78
37,56
66,86
31,37
112,90
97,93
81,43
114,87
82,92
80,84
69,75
54,62
65,63
109,90
112,77
102,100
43,61
49,71
75,96
127,100
90,77
108,100
53,76
67,86
121,93
60,56
92,93
70,94
57,59
34,61
40,60
90,100
74,77
115,98
26,37
79,62
73,64
114,80
43,52
45,66
54,74
91,56
63,84
58,42
104,85
56,68
73,81
48,81
113,100
50,79
82,82
36,53
62,76
99,88
98,75
34,48
89,82
117,90
96,88
73,83
127,100
69,98
66,88
86,79
61,66
46,45
71,100
82,74
65,49
41,65
95,84
103,76
90,60
64,52
120,92
94,82
126,100
38,70
63,61
70,62
79,69
58,73
125,96
83,82
30,54
65,83
62,94
89,100
49,68
80,100
42,78
82,74
44,81
87,59
57,84
100,84
103,100
116,100
48,73
45,68
77,77
75,51
79,75
79,71
76,100
40,63
43,78
107,72
65,68
60,74
93,76
83,72
79,77
79,94
118,89
45,65
75,66
64,93
86,100
108,91
94,66
111,71
19,50
91,53
85,100
114,94
20,38
37,52
53,46
77,55
91,85
71,70
53,45
38,71
73,89
38,77
41,66
58,40
4,30
93,73
60,86
74,42
67,60
37,60
129,100
114,84
78,100
106,100
64,70
43,40
100,100
56,58
47,77
61,65
41,65
64,81
74,61
109,100
72,77
89,61
51,52
54,72
45,37
41,66
107,87
61,68
46,76
85,58
96,66
35,62
75,50
65,58
91,95
96,71
127,98
87,75
45,28
62,83
70,49
65,95
36,64
118,83
86,65
107,80
69,60
108,97
77,69
24,49
103,100
32,62
65,73
83,62
93,89
34,50
73,100
36,48
84,77
57,83
45,67
78,90
73,74
75,78
103,66
90,80
103,77
60,76
63,100
99,72
49,72
41,47
68,81
89,59
68,79
112,96
88,75
87,63
66,91
70,63
70,67
107,75
106,100
111,97
80,100
81,64
56,76
42,83
67,82
125,100
78,49
40,59
36,38
84,83
92,78
66,72
34,61
35,65
51,71
47,69
53,69
82,86
131,97
99,88
89,85
105,94
40,57
88,73
80,90
76,77
61,58
50,70
57,100
63,82
80,89
95,75
134,100
0,36
73,58
110,89
96,86
93,95
119,93
44,47
121,100
96,69
73,76
31,57
59,90
112,84
56,84
100,72
84,85
87,88
100,100
89,67
91,100
76,50
122,100
113,100
21,53
91,100
111,84
94,87
74,85
83,84
74,45
73,80
27,50
86,63
45,78
71,99
93,83
92,100
43,55
62,67
92,68
93,98
102,84
108,87
77,79
99,83
76,90
44,85
56,85
121,100
59,93
108,94
29,46
69,77
17,49
82,100
80,64
69,77
30,52
69,78
65,47
56,84
80,71
81,82
71,85
101,62
45,44
62,41
112,96
103,86
99,85
58,75
101,75
70,62
91,95
107,75
59,54
82,71
71,77
99,100
62,72
56,81
60,57
41,56
110,81
43,63
51,81
