potds,score
77,65
73,58
83,61
88,71
93,84
87,53
74,100
66,48
120,100
77,53
108,78
120,88
98,69
64,83
94,100
56,49
16,46
101,66
54,79
32,49
63,84
67,91
82,82
62,76
62,49
77,59
71,45
67,93
53,75
46,85
61,66
32,62
37,56
89,59
94,55
37,72
28,60
43,37
63,70
79,61
81,77
40,63
82,56
42,70
83,72
82,57
53,58
51,69
78,86
37,52
72,49
89,80
110,100
12,44
119,92
63,89
60,69
129,100
109,77
62,73
54,72
73,69
80,87
64,76
70,53
72,55
91,95
45,28
62,83
72,69
95,73
83,62
53,47
34,50
109,79
82,100
67,85
101,65
50,78
38,64
61,65
100,100
27,67
52,46
67,49
79,44
33,50
36,38
72,76
71,97
71,100
79,64
44,47
80,42
31,57
64,50
71,86
61,46
45,33
118,82
59,50
31,50
27,50
58,56
85,71
60,87
76,59
104,85
34,63
67,40
17,49
6,42
95,67
