potds,score
60,44
43,75
82,92
48,74
39,46
70,63
53,74
103,92
49,66
104,77
120,89
69,67
39,59
91,76
60,85
61,71
41,43
48,61
90,75
82,59
74,69
78,58
117,77
102,64
105,88
111,95
74,90
83,65
63,42
113,94
62,80
116,80
45,62
120,93
85,65
67,100
45,59
54,40
104,100
27,41
72,70
94,69
68,69
59,76
97,70
49,60
104,89
47,47
101,83
52,95
84,78
28,63
71,100
102,97
89,73
123,86
32,61
129,90
79,89
98,85
114,98
118,78
112,82
92,88
77,45
85,79
89,94
64,80
87,74
52,66
83,50
103,75
83,68
108,97
58,67
106,83
76,78
98,88
114,88
114,86
108,77
78,71
58,54
76,100
40,59
64,70
96,73
80,71
107,89
115,87
86,79
71,89
45,77
89,74
75,82
81,67
59,78
57,100
69,77
90,65
113,100
105,98
59,77
73,86
87,100
49,68
78,83
116,84
63,100
108,94
57,81
101,74
79,100
99,86
43,50
107,77
112,100
103,98
129,100
41,78
72,100
66,63
53,85
117,91
94,61
73,57
59,84
47,48
119,86
79,62
80,100
103,80
82,60
79,59
71,51
87,90
52,56
66,71
44,65
70,72
49,44
104,91
51,68
57,84
124,100
98,78
82,74
114,100
65,57
81,64
