potds,score
80,71
73,85
110,74
46,58
102,100
87,100
29,57
64,91
97,100
37,56
70,54
83,85
105,78
57,59
78,53
3,22
87,99
43,73
109,100
80,56
34,55
50,79
89,69
34,48
96,88
84,69
76,68
95,84
103,93
58,49
99,73
50,64
78,67
125,92
70,70
12,44
55,68
95,66
96,80
58,42
70,88
79,94
118,89
49,29
80,100
58,79
53,66
19,50
20,38
48,67
103,80
110,90
71,70
54,20
29,47
88,87
45,75
84,74
113,100
131,100
53,34
112,84
45,37
65,42
41,29
100,100
96,66
95,84
56,63
36,64
50,67
83,80
72,42
104,83
69,84
57,83
44,28
103,98
122,100
113,94
72,56
26,46
106,98
49,35
91,83
106,85
64,81
67,57
110,98
62,90
106,100
80,53
63,82
134,100
105,88
100,100
73,78
90,80
68,75
99,93
89,74
20,49
58,45
94,70
82,100
55,77
56,84
81,82
90,59
43,63
