potds,score
75,100
43,59
80,51
116,67
58,94
89,94
86,88
88,57
84,90
25,55
74,97
53,88
86,81
74,49
101,85
16,52
48,57
84,48
53,25
99,73
91,55
95,91
102,94
88,59
79,34
86,93
66,54
120,100
78,81
69,52
45,70
75,84
77,94
77,77
104,100
64,99
113,95
115,100
85,38
120,87
112,80
74,49
65,29
97,87
54,78
81,51
84,100
112,80
58,14
101,100
86,74
76,89
86,100
88,83
72,41
74,49
68,67
59,54
88,64
82,68
66,44
71,100
40,63
48,54
68,80
72,77
53,51
66,55
85,58
63,67
31,38
64,61
86,91
92,78
67,100
101,55
95,75
74,84
67,100
62,64
87,100
73,91
66,96
109,100
34,39
49,93
57,78
94,63
109,70
62,47
89,72
97,92
65,61
103,100
106,85
54,64
46,65
77,54
89,84
61,80
55,79
112,91
61,48
89,97
46,42
48,29
97,78
67,74
57,100
104,88
46,76
63,72
130,100
65,100
107,89
125,100
53,76
119,100
122,100
83,67
28,58
64,73
95,94
88,82
83,100
80,75
63,60
54,60
12,15
70,90
109,91
59,59
57,90
52,85
85,81
81,96
77,73
55,55
62,52
59,37
109,100
96,87
117,100
58,23
102,75
54,41
68,39
60,73
31,61
111,82
110,100
101,89
50,59
51,86
60,77
134,100
58,89
44,40
45,49
33,54
90,100
121,99
76,89
105,76
75,52
53,85
80,100
93,79
111,80
53,74
48,64
49,46
66,83
85,97
81,81
88,77
92,78
101,80
86,53
69,54
72,47
49,80
89,72
115,74
94,91
52,55
85,60
12,26
81,99
59,93
119,100
71,72
71,94
74,72
62,56
123,82
107,85
107,93
75,74
113,77
105,84
61,74
58,76
109,85
69,92
89,75
95,56
89,80
65,74
88,100
92,81
71,56
60,87
63,80
84,56
45,48
68,74
18,21
113,99
57,85
82,44
71,74
62,57
46,72
104,94
87,95
77,50
112,91
35,44
67,81
82,79
36,65
84,84
63,92
47,68
72,91
40,52
49,85
68,63
62,78
47,46
103,94
95,90
52,65
115,92
74,76
113,100
49,69
28,19
62,62
83,100
74,100
97,100
105,95
16,39
116,100
118,100
38,79
86,58
96,88
53,37
69,94
94,64
61,86
102,75
95,89
54,74
98,99
72,92
72,68
64,89
100,100
56,98
57,84
95,62
62,100
104,96
55,73
64,86
81,100
31,51
38,62
87,54
86,53
65,68
106,88
70,95
120,89
27,58
115,77
71,72
58,80
54,81
93,84
106,100
41,60
59,86
92,100
67,41
105,71
33,33
50,73
108,89
75,50
66,93
73,100
96,57
27,68
82,66
84,100
64,72
67,85
69,89
57,92
57,70
117,92
62,92
37,76
89,96
87,93
68,65
94,55
104,99
68,93
128,100
72,94
72,100
54,62
38,51
95,100
66,60
80,36
87,100
88,52
38,61
106,89
81,72
108,84
88,94
114,82
93,58
56,70
69,45
63,95
82,83
69,97
103,84
69,82
43,89
52,72
86,91
84,71
88,42
35,66
83,59
70,81
100,71
76,79
87,75
101,94
77,54
88,79
60,71
59,62
111,92
64,93
28,46
58,99
43,76
78,80
91,78
72,67
70,100
50,62
64,48
42,49
71,74
68,100
70,100
64,97
76,53
95,77
75,62
119,100
78,61
36,50
79,61
100,77
71,97
104,76
36,56
27,37
31,60
94,62
55,62
103,86
84,94
32,65
99,98
6,31
66,65
92,78
96,100
91,69
74,78
116,74
61,25
49,63
117,100
94,83
72,79
77,100
26,54
81,81
79,93
82,100
95,72
95,81
97,79
