potds,score
100,62
84,69
73,65
63,88
93,88
43,59
73,90
103,81
58,94
77,56
99,76
20,38
83,68
85,100
84,90
34,53
77,38
124,100
60,24
43,72
53,88
34,54
67,87
98,69
82,83
48,90
80,95
74,49
48,58
16,52
61,34
47,90
49,70
39,47
112,99
79,68
103,74
103,66
103,100
91,55
88,59
86,93
69,52
65,42
104,83
70,64
61,100
65,67
53,82
88,77
100,97
71,96
45,70
103,72
30,65
49,76
39,39
69,63
77,77
80,89
24,42
104,62
120,98
77,57
93,51
87,77
85,38
60,72
69,84
112,80
39,53
66,93
91,66
81,51
84,100
90,87
97,87
60,89
112,80
36,48
61,69
88,50
86,74
80,73
78,100
54,68
112,90
41,60
88,83
43,58
48,53
90,74
59,54
82,62
66,90
127,100
90,77
108,84
74,53
78,64
71,100
63,95
92,78
128,100
81,100
70,98
84,38
40,47
37,25
117,87
57,77
102,60
53,84
90,93
40,51
105,74
53,51
117,87
63,67
122,100
26,56
73,56
111,75
58,41
116,77
126,99
74,100
74,80
102,98
83,60
54,89
104,94
92,78
63,36
101,55
82,82
104,77
115,85
52,54
69,77
62,64
79,87
122,100
113,100
56,52
86,60
73,84
66,96
62,69
48,71
32,54
113,100
36,38
49,93
57,78
60,56
51,86
97,92
99,100
114,100
38,58
73,80
62,62
127,95
69,95
116,99
45,63
56,56
103,100
111,72
78,67
50,32
66,90
67,53
86,94
48,77
108,91
87,66
71,100
77,54
82,89
51,33
41,70
89,72
120,96
89,84
19,27
59,100
102,76
77,100
85,62
103,60
59,78
72,100
94,89
89,97
38,58
48,29
123,89
87,76
97,78
67,74
125,98
83,91
87,100
104,88
67,100
52,79
63,72
67,99
89,100
130,100
45,57
106,66
53,76
54,52
49,50
80,100
61,65
42,60
104,100
64,73
106,91
27,27
72,76
70,85
94,58
80,63
68,81
95,94
100,98
59,88
27,50
63,92
40,58
97,74
39,61
92,48
49,75
54,60
12,15
91,83
104,95
109,91
59,59
96,51
45,37
103,73
74,91
46,80
52,85
85,81
47,34
116,92
59,37
89,63
125,99
99,71
101,74
107,56
102,75
68,39
65,48
31,61
93,88
50,59
79,74
92,49
52,75
72,47
61,65
45,49
87,78
51,89
51,28
84,68
28,45
121,99
126,100
88,64
93,79
94,70
58,64
48,64
71,100
102,100
49,46
66,83
81,81
88,77
66,26
89,68
101,80
114,79
86,53
123,100
69,54
32,54
91,72
49,80
45,70
129,100
56,62
94,91
64,80
79,100
94,76
59,62
78,99
38,64
57,73
98,100
75,100
53,66
107,85
107,93
58,46
114,100
75,74
118,97
86,78
59,65
52,67
91,51
67,79
61,74
68,81
112,99
37,65
124,100
43,54
50,81
92,98
77,42
66,98
85,99
115,97
51,56
89,80
65,74
106,100
64,79
69,59
89,86
88,82
89,89
64,82
87,70
92,72
100,100
59,76
52,59
45,48
68,74
83,44
109,100
103,82
83,86
108,100
100,65
58,63
46,72
106,98
61,62
104,94
76,68
98,82
95,71
120,100
114,99
84,84
66,40
93,88
63,92
47,68
72,91
38,79
114,79
108,97
85,42
37,65
62,78
108,85
94,91
53,78
78,41
35,50
52,65
75,65
65,44
115,92
96,75
78,66
61,100
58,54
94,80
60,83
76,90
62,62
69,78
118,100
84,37
44,53
63,76
105,100
74,100
97,100
86,80
40,68
95,55
16,39
64,59
108,100
96,81
80,81
107,100
93,57
32,61
55,63
65,64
100,70
104,69
115,100
76,70
89,69
86,97
61,86
84,68
45,59
83,79
34,71
54,74
75,58
72,92
100,100
48,61
71,90
64,89
86,72
45,87
63,95
99,61
95,62
49,92
104,96
76,81
68,68
73,100
64,86
89,80
81,100
75,100
112,97
88,61
81,63
87,78
69,55
59,71
86,53
47,66
63,68
57,84
81,100
69,68
90,52
41,78
65,68
120,89
65,65
57,93
70,72
113,100
111,100
106,100
105,100
71,81
71,72
102,57
59,97
58,80
61,91
93,84
73,77
106,100
53,36
87,100
113,100
41,60
80,93
81,65
59,86
92,100
90,64
49,77
60,47
125,88
78,63
40,76
78,72
57,78
55,80
126,100
50,73
66,67
92,96
66,62
66,93
73,100
116,90
27,68
113,64
116,83
100,95
84,100
63,96
108,82
51,64
57,89
78,92
88,86
69,89
110,100
53,65
82,88
