potds,score
100,62
103,81
77,56
99,76
83,68
67,87
80,95
48,58
103,66
103,100
104,83
61,100
88,77
100,97
69,63
80,89
24,42
77,57
66,93
97,87
80,73
54,68
112,90
43,58
127,100
90,77
108,84
92,78
70,98
40,47
90,93
26,56
73,56
54,89
104,77
56,52
73,84
48,71
113,100
36,38
73,80
127,95
69,95
66,90
86,94
71,100
82,89
41,70
103,60
38,58
125,98
83,91
89,100
49,50
80,100
42,60
100,98
107,56
65,48
93,88
79,74
94,70
114,79
38,64
58,46
67,79
37,65
106,100
64,79
100,100
109,100
85,42
35,50
75,65
65,44
96,75
118,100
86,80
108,100
32,61
65,64
45,59
75,58
63,95
99,61
49,92
68,68
112,97
88,61
87,78
70,72
106,100
80,93
81,65
125,88
78,63
40,76
92,96
66,62
51,64
53,65
82,88
131,100
89,66
105,80
88,65
76,79
61,39
50,58
57,88
80,91
121,89
73,61
56,72
100,59
84,100
87,85
91,97
21,58
92,100
62,86
93,89
102,68
77,97
56,71
108,81
29,41
69,75
80,68
101,77
45,28
91,98
82,75
56,100
51,87
