potds,score
43,73
45,44
97,75
77,100
100,60
81,63
114,100
58,14
86,100
124,85
88,64
71,82
122,80
74,62
66,55
41,28
57,97
45,81
86,98
65,24
55,33
102,89
65,94
79,68
126,82
60,94
46,42
74,86
66,84
45,52
58,98
77,73
47,48
89,100
51,86
57,36
91,62
36,30
92,78
85,100
80,53
115,74
81,99
59,93
43,57
66,93
93,76
74,48
69,92
88,96
74,59
113,99
74,66
71,74
72,88
65,87
72,93
110,60
105,56
127,100
95,100
11,32
41,55
107,78
90,64
56,79
69,62
116,89
93,94
25,57
102,75
110,92
33,49
58,53
73,40
47,44
55,73
89,51
87,54
63,76
40,61
111,96
57,58
79,69
69,50
133,100
66,70
64,53
127,98
67,85
95,70
0,22
68,86
111,100
92,76
113,100
74,61
93,79
33,33
43,43
83,87
70,100
34,42
31,41
79,96
79,79
80,92
72,79
100,100
23,47
