potds,score
72,69
77,76
36,55
100,62
95,79
84,69
73,65
63,88
74,77
75,100
93,88
43,59
43,73
63,52
70,79
80,51
101,85
45,44
63,84
73,90
116,67
34,55
103,81
73,73
28,45
55,100
55,76
73,64
58,94
77,56
94,100
99,76
89,94
91,80
86,88
20,38
83,68
97,75
83,70
88,57
85,100
84,90
86,68
34,53
81,100
77,38
25,55
74,97
124,100
33,46
110,75
60,24
43,72
53,88
34,54
67,87
75,56
98,69
83,41
82,83
84,81
48,90
86,81
80,95
74,49
48,58
101,85
16,52
61,34
47,90
48,57
49,70
84,48
39,47
112,99
46,67
79,68
53,25
99,73
56,51
106,100
93,87
87,71
103,74
103,66
103,100
91,55
99,68
74,85
99,65
95,91
102,94
88,59
79,34
77,100
86,93
69,100
66,54
120,100
78,81
69,52
94,89
65,42
104,83
54,95
113,85
124,98
70,64
61,100
100,60
50,98
65,67
53,82
94,78
118,97
88,77
100,97
62,56
71,96
45,70
103,72
30,65
49,76
39,39
69,63
92,100
75,84
77,94
76,95
77,77
80,89
112,100
61,67
61,65
61,75
107,87
71,69
43,79
58,35
38,62
87,92
24,42
29,52
101,100
104,100
77,43
69,86
104,62
120,98
64,82
64,99
81,88
113,95
115,100
65,88
77,57
85,48
93,51
87,77
53,20
103,100
77,76
85,38
81,71
35,70
59,89
108,79
60,72
94,100
69,84
120,87
110,96
112,80
64,100
74,49
78,73
49,25
92,100
39,53
65,29
97,87
31,33
37,51
66,93
31,24
112,94
91,66
54,78
78,44
103,74
81,51
84,100
90,87
97,87
81,63
114,100
60,89
34,54
112,80
36,48
99,99
61,69
88,50
58,14
100,76
82,94
60,96
101,100
86,74
80,73
76,89
69,74
72,88
74,91
91,75
97,100
78,100
54,68
65,61
70,36
71,75
109,100
112,90
41,60
102,100
86,100
124,85
88,83
72,41
21,35
43,58
42,46
121,96
125,90
68,84
72,89
48,53
67,65
96,80
74,49
68,67
90,74
59,54
88,64
67,100
98,87
82,62
49,64
35,56
45,52
75,79
66,90
127,100
90,77
108,84
74,53
71,82
86,44
82,68
83,94
53,88
69,63
83,67
78,64
64,83
66,44
71,100
63,95
61,56
67,71
102,100
121,90
122,80
40,63
46,72
60,52
94,84
92,78
128,100
105,91
81,100
70,98
30,71
56,63
84,38
57,50
34,60
16,34
40,47
37,25
117,87
56,81
48,54
57,77
68,80
60,23
102,60
81,75
53,84
90,93
40,51
74,62
115,100
101,56
11,42
72,77
54,77
105,74
78,61
53,51
73,77
66,55
117,87
41,28
52,72
85,58
129,100
63,67
122,100
26,56
79,56
73,56
56,72
66,76
57,97
3,40
70,53
91,100
114,84
111,75
115,81
78,100
95,92
58,41
52,83
112,98
71,100
116,77
90,92
126,99
43,38
45,81
17,47
74,100
74,80
102,98
31,38
64,61
83,60
85,92
32,32
54,89
86,98
115,86
104,94
86,91
92,78
67,100
91,64
80,70
63,67
63,36
54,53
101,55
95,75
74,84
67,100
67,74
58,62
82,82
104,77
115,85
52,54
60,70
69,77
63,85
62,64
65,24
79,87
87,100
122,100
113,100
88,90
56,52
112,84
55,33
73,91
86,60
73,84
66,96
62,69
43,91
109,100
60,83
14,26
62,69
101,100
48,71
80,73
34,39
32,54
90,69
113,100
50,72
82,71
70,72
36,38
49,93
62,80
57,78
68,53
60,56
69,100
54,60
94,63
51,86
109,70
99,100
39,74
60,25
84,90
44,85
62,47
89,72
97,92
109,96
98,90
99,100
77,47
34,47
89,65
112,88
102,89
114,100
117,100
96,100
71,52
38,58
65,61
25,41
73,80
60,51
62,62
67,99
127,95
98,93
59,67
69,95
116,99
65,94
45,63
56,56
103,100
53,89
111,72
84,54
78,67
106,85
50,32
54,64
66,90
97,79
67,53
46,65
86,94
48,77
108,91
87,66
61,74
46,45
32,60
37,50
71,100
77,54
82,89
124,100
65,45
97,71
13,41
51,33
41,70
51,56
89,72
80,61
120,96
89,84
78,76
116,91
76,48
19,27
59,100
95,76
102,76
87,99
61,80
77,100
31,63
85,62
115,98
55,79
103,60
98,82
90,76
112,91
35,50
62,61
79,68
64,51
61,48
120,100
49,69
84,86
103,100
94,98
59,78
126,82
60,94
96,100
61,92
49,81
60,78
89,50
72,100
94,89
86,100
89,97
71,63
81,57
38,58
58,34
94,70
79,56
46,42
113,86
99,92
48,29
123,89
87,76
63,69
70,67
97,78
79,72
58,58
67,74
51,73
74,86
57,100
48,74
50,55
125,98
83,91
44,68
87,100
104,88
67,100
30,41
52,79
78,60
65,80
113,100
62,89
46,76
63,72
86,82
67,99
89,100
77,100
130,100
65,100
107,89
45,57
106,66
100,100
125,100
53,76
119,100
37,69
48,76
122,100
83,67
54,52
28,58
87,86
49,50
80,100
117,87
61,65
42,60
104,100
64,73
90,94
82,59
106,91
27,27
72,76
70,85
44,65
94,58
99,87
80,63
68,81
93,83
87,68
95,94
88,82
66,87
59,95
57,83
83,100
63,100
70,75
100,98
35,30
103,85
74,53
66,84
60,76
59,88
116,100
27,50
48,64
63,92
40,58
43,33
97,74
39,61
56,59
80,75
92,48
63,60
49,75
73,81
76,38
54,60
12,15
91,83
104,95
45,52
79,54
70,90
109,91
77,66
49,13
57,74
75,38
59,59
96,51
45,37
12,31
79,65
57,90
103,73
74,91
100,100
46,80
78,75
61,58
79,79
76,100
52,85
67,62
85,81
81,96
59,87
108,79
58,98
57,88
47,34
77,73
116,92
55,55
62,52
59,37
89,63
93,86
109,100
65,88
40,62
119,100
95,64
125,99
96,87
43,85
99,71
101,74
47,48
117,100
57,62
107,56
82,51
58,23
42,68
102,75
70,92
94,62
54,41
68,39
60,73
65,48
60,72
42,64
31,61
93,88
89,100
52,49
100,75
111,82
73,85
110,100
80,74
101,89
32,68
50,59
107,87
71,35
64,100
78,58
96,52
51,86
60,77
134,100
94,100
38,64
98,100
78,61
83,90
58,89
79,74
92,49
79,81
52,75
44,40
72,47
118,99
61,65
60,72
45,77
49,33
75,53
87,69
64,91
45,49
87,78
86,84
51,89
108,100
33,54
90,100
51,28
106,89
70,100
84,68
28,45
52,51
91,90
121,99
57,36
108,100
126,100
62,59
76,89
105,76
127,100
75,52
88,64
71,85
41,59
7,17
53,85
80,100
93,79
58,65
111,80
94,70
82,57
58,64
68,34
111,87
53,74
48,64
53,61
42,38
71,100
39,52
91,82
64,93
102,100
71,71
81,69
19,54
49,46
37,82
66,83
91,62
85,97
81,81
88,77
66,26
89,68
47,31
51,80
36,30
92,78
90,100
78,69
85,100
101,80
114,79
86,53
75,45
20,20
123,100
69,54
32,54
91,72
37,48
72,47
49,80
53,45
45,70
77,60
129,100
89,83
89,72
48,63
80,53
91,95
69,82
103,94
115,74
56,62
94,91
70,86
41,72
98,90
110,93
64,80
58,85
110,88
52,55
85,60
12,26
77,68
79,100
94,76
81,99
89,52
78,96
41,67
71,62
59,93
119,100
90,62
53,49
71,72
67,95
59,62
78,99
38,64
71,94
44,72
54,28
73,86
113,74
57,73
63,92
85,63
74,72
98,100
43,57
62,56
69,58
118,78
38,70
41,51
66,93
75,100
123,82
53,66
107,85
98,88
107,93
58,46
130,100
4,29
93,76
60,83
114,100
74,48
27,54
75,74
118,97
86,78
59,65
52,67
113,77
91,51
105,84
75,95
67,79
61,74
29,44
113,59
58,76
103,99
57,42
114,84
83,82
68,81
60,85
63,62
112,99
37,65
107,87
129,100
82,100
77,65
124,100
109,85
116,80
86,76
43,54
50,81
61,29
92,98
69,92
77,42
114,100
78,100
114,66
66,98
78,96
72,100
73,41
88,96
89,75
57,58
95,56
85,99
115,97
51,56
89,80
56,100
65,74
106,100
64,79
88,100
69,59
89,86
32,44
43,57
88,82
64,48
89,89
64,82
56,71
92,81
71,56
87,70
117,83
92,72
100,100
56,39
60,87
63,80
59,76
81,92
51,59
66,70
45,73
113,98
87,84
78,70
106,80
52,59
47,60
84,56
61,58
45,48
68,74
41,72
83,73
83,44
68,72
64,82
74,59
109,100
18,21
103,82
46,86
32,42
83,86
113,99
74,66
117,96
113,100
62,45
79,88
89,100
57,85
108,100
82,44
100,65
71,74
112,92
35,58
84,84
62,57
58,63
46,72
22,57
72,88
106,98
61,62
130,100
65,87
131,100
104,94
72,93
53,20
87,95
77,50
76,68
112,91
35,44
98,82
67,75
89,78
67,81
51,35
95,81
54,56
82,79
74,91
42,63
45,46
69,45
83,75
36,65
95,71
120,100
114,99
78,64
84,84
66,40
73,51
93,88
63,92
65,37
47,68
64,55
41,56
67,72
107,70
63,100
72,91
38,79
40,52
49,85
80,79
114,79
64,78
61,49
83,95
110,60
68,63
41,26
46,60
44,56
108,97
85,42
37,65
62,78
47,46
89,74
108,85
94,91
100,100
96,61
53,78
95,100
75,100
56,53
70,64
78,41
103,94
105,56
51,53
95,90
64,48
85,74
35,50
59,88
52,65
112,86
72,69
75,65
65,44
115,92
91,100
96,75
105,100
74,76
127,100
78,66
87,55
72,32
71,69
45,11
113,100
95,100
62,64
60,93
119,97
61,100
58,54
49,69
120,100
37,58
70,56
11,32
56,62
94,80
79,86
30,65
101,59
28,19
60,83
65,99
120,87
76,90
72,83
62,62
77,64
36,80
69,78
87,76
118,100
84,37
44,53
50,85
63,76
83,100
105,100
85,63
62,58
74,100
90,100
97,100
41,66
105,95
86,80
68,84
40,68
96,100
112,77
98,81
95,80
105,76
41,55
107,78
88,68
92,63
90,64
50,81
67,75
95,55
56,79
16,39
97,90
69,62
130,100
64,59
108,100
96,81
80,81
33,49
61,100
39,78
107,100
77,53
24,36
116,100
118,100
103,100
93,57
38,79
116,89
34,55
86,58
32,61
96,88
55,63
65,64
83,66
48,91
74,73
62,84
53,37
83,98
100,70
93,94
104,69
115,100
66,75
72,25
97,82
104,68
76,70
34,45
69,94
73,96
36,28
56,97
25,57
84,66
89,69
94,96
117,95
94,64
72,82
109,78
86,97
57,89
44,29
82,87
61,86
38,35
77,87
88,91
101,80
84,68
45,59
71,77
83,79
106,100
56,74
102,75
78,100
81,41
72,95
87,100
49,72
73,75
34,71
103,88
106,100
32,65
98,85
96,76
95,89
54,74
67,100
75,58
98,99
110,92
8,40
33,49
51,81
72,92
100,100
48,61
103,62
122,89
101,79
113,100
72,68
71,90
50,75
64,89
86,72
100,100
90,85
56,98
57,84
103,73
99,66
89,82
108,71
60,86
72,99
45,87
112,75
58,53
49,63
106,86
63,95
50,57
53,83
99,61
111,97
95,62
73,40
117,84
108,81
62,100
49,92
115,80
104,96
41,64
76,81
47,44
68,68
55,73
73,100
89,51
64,86
89,80
93,71
49,76
81,100
31,51
38,62
49,79
61,72
75,100
70,39
101,84
123,95
68,99
112,97
46,68
54,82
87,54
88,61
75,48
131,100
81,63
26,52
63,76
70,89
87,78
69,55
66,71
59,71
86,53
47,66
63,68
52,39
57,84
81,100
69,68
90,52
70,44
41,78
65,68
106,88
70,95
120,89
49,23
65,65
57,93
70,72
27,58
108,91
113,100
52,60
111,100
107,78
100,89
91,97
106,100
27,52
45,36
115,77
105,100
103,89
126,100
71,81
71,72
102,57
20,53
59,81
54,63
59,97
58,80
54,81
61,91
93,84
52,65
73,77
40,61
106,100
53,36
87,100
112,95
113,100
111,96
41,60
80,93
81,65
59,86
92,100
57,58
79,69
90,64
56,66
42,71
49,77
60,47
67,89
125,88
32,54
67,41
106,74
78,63
40,76
105,71
78,72
53,79
127,100
57,78
55,80
79,60
33,33
69,50
126,100
91,91
50,73
36,49
118,94
66,67
84,94
133,100
92,96
108,89
66,70
72,86
42,81
64,53
75,50
66,62
85,100
64,61
94,71
61,70
75,77
66,93
90,57
73,100
96,57
116,90
27,68
82,66
113,64
116,83
85,81
107,100
127,98
100,95
34,73
35,68
90,66
84,100
63,96
62,100
108,82
64,72
51,64
67,46
67,85
57,89
57,70
78,92
71,95
47,76
49,75
88,86
69,89
72,86
52,75
31,40
80,62
110,100
100,100
57,92
57,70
110,97
53,65
82,88
79,100
86,64
58,58
46,63
51,45
131,100
84,100
117,92
48,76
89,91
99,100
62,92
89,66
105,80
40,65
37,76
107,100
71,100
89,96
42,79
87,93
88,65
72,54
101,69
104,99
121,96
79,90
106,100
80,73
28,51
16,22
76,79
116,84
68,65
54,60
86,97
84,89
80,64
61,39
77,100
61,100
50,58
83,100
99,86
53,87
24,58
29,56
77,100
55,81
59,63
43,38
67,100
107,77
57,88
50,76
63,62
58,92
101,100
94,55
112,98
76,98
104,99
80,91
74,88
47,67
95,70
108,81
67,90
70,66
68,93
109,90
134,100
45,38
128,100
72,94
0,22
73,52
85,100
103,78
60,81
99,46
45,46
65,71
79,53
87,98
110,84
72,100
96,77
79,36
54,62
38,51
129,86
95,100
93,94
92,100
62,94
41,91
70,69
66,60
60,81
104,74
119,94
44,62
121,89
95,75
98,80
80,36
96,57
73,61
58,67
76,49
87,100
75,34
