potds,score
28,45
81,100
33,46
56,51
118,97
53,20
110,96
112,94
34,54
101,100
65,61
21,35
42,46
125,90
83,94
66,44
30,71
68,80
60,23
11,42
79,56
91,64
95,75
74,84
60,70
90,69
117,100
80,61
78,76
61,48
84,86
96,100
86,100
71,63
79,56
77,100
83,67
99,87
74,53
49,13
79,79
109,100
43,85
94,62
111,82
80,74
78,61
45,77
90,100
7,17
39,52
75,45
69,58
130,100
4,29
27,54
114,84
61,29
117,83
106,80
47,60
46,86
35,58
130,100
95,100
64,48
37,58
28,19
77,64
50,85
90,100
68,84
77,53
116,100
118,100
62,84
97,82
49,72
32,65
98,99
8,40
100,100
56,98
99,66
112,75
101,84
75,48
70,95
42,81
75,50
94,71
85,81
90,66
64,72
72,86
51,45
37,76
16,22
67,90
76,49
109,97
89,58
93,75
69,82
21,23
47,88
68,51
111,85
113,95
82,72
86,93
92,86
101,91
108,78
47,49
71,97
70,96
88,63
27,37
87,56
27,53
112,80
60,56
29,50
56,73
59,58
117,100
60,67
110,61
