potds,score
72,71
100,90
74,95
43,61
63,76
101,92
103,82
73,76
77,76
94,85
99,98
83,71
81,81
67,87
84,91
80,89
48,81
103,85
103,91
74,98
99,82
104,95
61,84
100,75
88,78
100,85
62,85
69,80
80,92
61,69
61,74
107,87
71,81
24,73
77,57
77,83
108,96
37,61
66,77
31,63
112,91
97,93
81,64
114,92
82,89
80,85
69,85
54,80
65,72
109,79
112,89
102,91
43,84
49,88
75,96
127,101
90,79
108,102
53,83
67,84
121,99
60,74
92,86
70,94
57,63
34,79
40,74
90,97
74,78
115,98
26,64
79,70
73,72
114,88
43,54
45,78
54,84
91,71
63,85
58,61
104,104
56,82
73,77
48,89
113,105
50,80
82,89
36,73
62,89
99,79
98,84
34,58
89,83
117,101
96,87
73,91
127,96
69,93
66,87
86,93
61,75
46,58
71,93
82,83
65,72
41,78
95,87
103,79
90,71
64,76
120,101
94,100
126,86
38,70
63,72
70,82
79,88
58,74
125,107
83,94
30,64
65,82
62,94
89,101
49,67
80,96
42,77
82,83
44,84
87,86
57,79
100,93
103,95
116,101
48,79
45,63
77,85
75,73
79,86
79,79
76,85
40,70
43,77
107,83
65,76
60,75
93,87
83,79
79,86
79,94
118,78
45,82
75,82
64,81
86,85
108,90
94,74
111,89
19,67
91,64
85,95
114,100
20,48
37,63
53,73
77,71
91,70
71,65
53,80
38,72
73,99
38,72
41,75
58,61
4,63
93,80
60,86
74,52
67,84
37,66
129,79
114,87
78,101
106,96
64,88
43,70
100,106
56,70
47,74
61,80
41,78
64,87
74,77
109,104
72,76
89,79
51,70
54,88
45,60
41,61
107,93
61,81
46,75
85,58
96,70
35,83
75,78
65,71
91,91
96,90
127,96
87,78
45,40
62,69
70,72
65,88
36,66
118,81
86,91
107,83
69,72
108,98
77,75
24,74
103,97
32,87
65,91
83,70
93,87
34,71
73,101
36,63
84,82
57,75
45,84
78,95
73,88
75,82
103,84
90,95
103,82
60,89
63,99
99,76
49,77
41,77
68,93
89,83
68,88
112,93
88,87
87,86
66,89
70,80
70,83
107,82
106,96
111,102
80,100
81,79
56,82
42,79
67,78
125,105
78,80
40,76
36,57
84,96
92,90
66,87
34,60
35,75
51,80
47,69
53,70
82,93
131,96
99,97
89,91
105,92
40,75
88,67
80,92
76,78
61,78
50,74
57,90
63,81
80,90
95,80
134,90
0,46
73,61
110,92
96,87
93,88
119,89
44,71
121,98
96,76
73,89
31,76
59,93
112,90
56,92
100,91
84,95
87,93
100,100
89,80
91,101
76,69
122,90
113,96
21,67
91,92
111,73
94,93
74,90
83,98
74,61
73,74
27,67
86,74
45,79
71,94
93,99
92,101
43,59
62,91
92,60
93,94
102,88
108,80
77,93
99,88
76,87
44,75
56,82
121,105
59,92
108,95
29,64
69,72
17,64
82,91
80,74
69,70
30,77
69,87
65,62
56,79
80,78
81,91
71,88
101,82
45,62
62,67
112,91
103,82
99,92
58,87
101,95
70,76
91,94
107,80
59,69
82,63
71,94
99,96
62,69
56,78
60,73
41,65
110,95
43,60
51,94
