potds,score
77,66
73,76
83,66
88,62
93,77
87,73
74,98
66,69
120,103
77,57
108,96
120,79
98,85
64,82
94,75
56,71
16,57
101,85
54,74
32,49
63,85
67,93
82,89
62,89
62,71
77,74
71,56
67,95
53,73
46,77
61,75
32,74
37,55
89,70
94,57
37,75
28,61
43,60
63,85
79,55
81,90
40,70
82,62
42,66
83,79
82,64
53,75
51,72
78,88
37,63
72,47
89,85
110,90
12,59
119,90
63,72
60,82
129,79
109,71
62,76
54,88
73,65
80,72
64,93
70,79
72,75
91,91
45,40
62,69
72,89
95,82
83,70
53,66
34,71
109,74
82,86
67,89
101,77
50,88
38,72
61,81
100,89
27,80
52,58
67,70
79,71
33,59
36,57
72,76
71,90
71,97
79,51
44,71
80,77
31,76
64,65
71,80
61,70
45,61
118,99
59,47
31,62
27,67
58,77
85,82
60,83
76,51
104,92
34,72
67,68
17,64
6,50
95,75
