potds,score
84,89
73,79
63,94
93,100
20,58
34,81
47,92
49,90
79,84
103,89
65,80
39,66
87,88
60,68
90,96
36,70
63,97
128,98
84,71
37,69
117,97
126,87
74,92
102,95
52,66
69,84
79,81
122,85
86,86
62,97
32,69
99,107
114,100
111,86
50,79
51,63
77,95
59,91
72,90
123,96
87,85
87,95
67,88
61,81
106,91
80,78
40,76
92,76
91,92
46,77
116,83
125,92
61,85
51,92
126,86
88,71
91,100
45,82
94,101
78,76
57,69
53,66
86,86
52,81
91,70
43,90
89,76
88,82
92,85
100,89
61,83
95,84
108,95
37,72
69,76
84,83
44,72
63,88
93,75
55,80
100,68
89,90
83,93
34,76
100,101
48,85
69,87
63,77
81,102
41,81
65,74
57,91
102,86
57,78
126,94
100,88
78,96
88,89
79,91
58,71
107,98
67,88
76,87
74,93
87,86
58,80
83,88
50,76
60,88
113,94
110,102
59,79
50,67
20,61
104,90
43,78
87,74
84,88
46,79
79,81
33,70
95,100
84,84
60,78
74,91
53,74
86,82
44,87
30,72
95,83
