potds,score
72,71
36,81
95,89
74,95
63,76
70,87
101,92
63,86
116,90
55,81
55,77
94,85
89,102
91,87
86,95
86,73
25,64
74,88
75,81
83,76
84,91
86,76
101,93
48,65
84,75
53,60
99,99
106,100
99,78
99,82
95,94
79,69
69,104
78,80
94,82
54,88
113,86
124,102
50,78
94,92
62,85
92,93
75,92
77,88
76,90
112,101
61,82
107,87
71,81
43,85
58,61
38,79
101,90
104,108
69,91
64,82
81,98
113,86
115,106
65,84
103,86
77,84
81,96
35,77
59,87
94,94
64,88
74,76
78,81
49,74
92,95
65,71
31,56
54,81
78,65
103,93
99,93
100,97
82,89
60,91
76,98
69,85
72,85
74,98
91,85
97,103
109,79
102,91
72,68
68,95
72,83
67,71
96,86
74,75
68,90
67,83
49,88
35,72
45,76
75,96
86,74
82,76
53,83
61,71
67,84
102,89
121,99
40,72
46,65
60,74
56,95
48,83
115,98
72,81
52,72
129,91
56,88
66,75
70,70
91,83
114,88
78,96
95,96
52,89
112,99
71,100
90,96
43,54
31,74
64,84
85,80
115,83
86,87
80,86
54,73
67,79
58,61
63,97
88,92
112,86
73,87
60,85
14,44
101,95
70,81
68,73
69,96
54,75
94,84
109,85
99,79
39,62
60,56
84,84
44,82
109,103
112,86
65,76
25,69
60,73
98,92
59,77
106,86
54,78
97,84
46,58
124,83
65,72
97,81
51,89
116,99
87,92
31,83
115,95
98,83
90,71
112,100
64,76
120,101
49,80
94,100
61,97
49,79
60,83
81,71
113,87
63,72
79,88
58,74
51,93
57,84
48,80
44,88
30,64
65,82
113,97
62,94
46,86
86,93
107,79
100,94
119,89
48,77
122,96
87,81
117,100
90,98
82,83
93,95
87,86
88,83
66,99
57,79
83,73
63,92
70,87
35,58
103,95
60,91
116,101
48,79
56,68
80,85
73,92
76,65
77,85
75,73
79,86
57,88
100,90
78,73
61,81
76,85
67,84
59,92
108,90
57,80
62,57
93,91
119,104
117,97
57,86
54,75
60,81
100,75
73,83
110,101
101,90
32,72
107,93
71,70
64,98
78,84
96,86
60,89
134,88
94,94
38,65
98,94
58,96
44,77
60,73
75,82
87,82
64,81
86,85
33,74
106,101
70,99
52,79
91,90
108,102
62,87
76,93
105,91
127,91
75,72
71,93
41,80
53,87
111,86
68,71
111,89
91,86
71,80
81,83
85,89
47,53
90,97
77,71
89,88
69,84
70,91
41,83
98,89
58,79
85,75
77,74
89,77
78,83
41,62
53,80
71,82
67,97
71,87
44,87
73,99
113,85
85,80
62,71
118,88
41,75
123,89
98,98
60,86
113,93
105,90
75,89
113,88
58,88
103,100
57,64
83,84
63,82
107,74
82,100
77,72
116,97
86,81
114,96
78,86
114,87
78,101
72,104
73,72
89,78
57,64
95,88
56,87
32,69
43,70
64,81
56,96
92,91
71,76
56,70
60,88
63,89
81,84
51,58
66,86
78,78
41,78
83,90
68,93
64,87
18,54
117,95
62,75
79,91
89,96
57,93
82,64
112,97
22,77
87,94
35,72
67,88
89,79
67,85
51,70
82,83
74,94
42,83
69,74
83,88
36,77
78,92
64,77
41,61
67,72
107,93
63,93
49,87
61,81
83,99
68,74
46,75
47,77
89,82
75,86
103,91
51,64
59,77
112,79
105,83
74,90
87,78
72,68
71,84
113,97
60,81
119,99
49,79
120,86
70,72
79,93
30,70
65,88
120,99
87,84
83,100
62,62
41,84
105,96
96,100
112,85
98,80
105,84
88,88
92,92
67,89
97,87
61,99
39,68
24,74
103,97
38,86
34,72
48,78
74,83
66,79
73,101
56,94
84,82
94,99
117,97
94,84
72,87
88,97
101,88
71,85
106,95
56,85
78,95
81,61
72,92
87,97
73,88
106,100
98,102
96,91
95,82
51,87
103,84
90,95
57,88
103,82
108,86
60,89
72,89
49,85
106,101
50,80
53,82
108,97
62,102
115,77
41,77
93,91
49,86
31,62
49,83
70,75
123,97
46,72
54,93
131,98
70,87
66,89
52,63
70,80
27,77
108,100
52,87
107,82
45,67
115,99
103,86
126,101
20,75
59,92
54,78
54,87
112,90
56,82
42,79
67,78
32,65
105,96
53,85
127,98
91,96
118,94
84,96
108,94
85,98
61,76
82,77
34,60
35,75
62,77
57,88
47,69
49,69
52,83
31,75
80,86
100,100
57,93
57,78
46,60
117,95
48,76
89,94
99,97
40,75
89,89
42,87
72,83
104,94
121,90
80,92
28,57
116,96
68,82
54,70
86,90
83,101
53,79
24,62
77,95
55,89
59,81
58,92
47,79
68,76
109,90
45,64
72,97
73,61
85,89
99,68
65,86
110,92
96,87
93,88
70,81
66,84
60,86
104,78
119,89
95,73
98,91
96,76
75,75
38,72
106,83
81,73
40,81
88,99
86,96
40,68
73,85
52,72
59,93
112,90
93,78
60,83
56,70
69,77
63,96
69,94
103,90
48,89
24,67
52,79
86,85
76,69
122,90
49,85
35,64
60,83
83,79
53,76
74,77
76,86
80,92
101,99
67,90
38,77
77,80
88,83
60,74
77,82
77,86
91,92
94,93
74,90
83,98
59,75
87,89
50,75
56,73
107,101
111,83
87,75
111,88
104,99
84,88
57,72
58,95
112,93
86,74
90,97
130,102
18,61
45,79
78,91
67,77
91,91
71,94
32,77
75,79
53,67
70,83
106,79
86,89
72,88
57,80
87,96
95,90
42,74
71,85
64,81
75,76
81,83
81,81
36,78
78,101
76,90
107,92
100,80
114,97
63,98
100,93
105,87
99,88
76,87
53,78
44,75
71,82
121,105
86,79
59,92
92,96
36,72
68,70
92,72
31,67
125,100
72,80
103,102
84,86
98,89
19,61
69,70
30,77
42,84
69,87
65,62
78,99
66,81
80,78
62,99
71,88
92,67
62,67
92,93
50,66
91,95
105,96
92,83
103,82
99,92
58,87
101,95
113,97
88,73
70,76
116,93
95,94
64,94
107,80
65,77
61,66
49,85
103,86
92,100
71,94
99,96
93,92
51,88
62,69
108,74
50,56
26,70
86,82
42,76
41,65
78,67
49,72
31,59
39,81
130,99
112,88
47,79
