potds,score
70,87
91,87
106,100
54,88
124,102
50,78
94,92
92,93
76,90
61,82
101,90
81,98
103,86
77,84
81,96
78,81
103,93
100,97
60,91
74,98
97,103
68,95
67,83
45,76
52,72
70,70
52,89
88,92
112,86
60,85
14,44
69,96
39,62
60,56
112,86
25,69
98,92
87,92
98,83
60,83
81,71
113,87
113,97
48,77
90,98
70,87
100,90
78,73
61,81
67,84
57,86
73,83
32,72
107,93
71,70
70,99
91,90
62,87
127,91
71,93
91,86
71,80
90,97
41,83
77,74
113,85
118,88
103,100
107,74
77,72
116,97
86,81
81,84
83,90
62,75
89,96
74,94
42,83
69,74
83,88
64,77
63,93
83,99
112,79
72,68
71,84
120,86
79,93
41,84
34,72
48,78
66,79
72,87
88,97
101,88
71,85
72,92
98,102
96,91
51,87
106,101
50,80
53,82
108,97
115,77
93,91
70,87
52,87
45,67
126,101
53,85
127,98
118,94
62,77
49,69
52,83
48,76
121,90
28,57
54,70
53,79
109,90
85,89
70,81
40,81
88,99
40,68
60,83
38,77
77,86
111,83
87,75
67,77
75,79
86,89
81,83
78,101
76,90
107,92
100,93
71,82
92,93
105,96
92,83
65,77
108,74
42,76
78,67
31,59
130,99
47,79
