potds,score
77,66
36,81
95,89
84,89
73,79
63,94
93,100
45,78
63,86
73,84
55,77
20,58
97,94
86,73
34,81
110,68
83,76
47,92
49,90
79,84
56,50
87,73
103,89
99,78
69,104
94,82
113,86
65,80
118,94
39,66
38,79
87,91
69,91
87,88
53,49
35,77
59,87
60,68
94,94
64,88
49,74
92,95
78,65
90,96
36,70
72,85
91,85
70,53
71,64
42,74
72,83
67,71
96,86
98,85
86,74
63,97
61,71
46,65
94,75
128,98
105,89
56,71
84,71
37,69
11,64
117,97
41,64
129,91
56,88
3,54
91,83
115,96
95,96
71,100
126,87
17,71
74,92
102,95
85,80
32,49
115,83
54,73
52,66
69,84
63,97
79,81
122,85
55,69
86,86
62,97
101,95
32,69
70,81
68,73
44,82
99,107
114,100
59,77
53,73
111,86
50,79
37,55
124,83
51,63
116,99
77,95
31,83
35,58
49,80
59,91
60,80
61,97
72,90
71,76
58,71
99,67
123,96
87,85
51,93
48,80
50,58
87,95
67,88
86,93
77,95
100,94
61,81
106,91
80,78
35,58
60,91
40,76
92,76
76,65
91,92
79,55
57,86
46,77
108,90
58,89
116,83
65,85
125,92
47,66
89,90
100,75
64,98
94,94
78,71
61,85
49,49
87,82
51,92
52,79
126,86
88,71
7,58
68,71
42,55
81,83
47,53
78,88
91,100
45,82
80,70
69,84
98,89
94,101
41,62
67,97
78,76
57,69
63,72
85,80
53,66
27,74
86,86
52,81
91,70
57,64
83,84
60,82
63,82
43,90
61,52
56,87
89,76
32,69
88,82
92,85
51,58
45,66
68,93
113,102
100,89
84,77
72,89
61,83
65,85
131,98
53,61
67,88
95,84
73,65
67,72
80,72
110,81
44,70
108,95
37,72
95,88
51,64
105,83
37,62
30,70
120,99
77,73
69,76
87,84
84,83
44,72
63,88
96,100
112,85
98,80
95,82
105,84
88,88
67,89
97,87
33,73
61,99
93,75
55,80
74,83
83,68
100,68
89,90
94,99
117,97
44,57
83,93
56,85
81,61
87,97
49,75
34,76
106,100
32,54
110,81
100,101
48,85
122,91
72,89
58,50
111,97
47,68
49,86
49,83
70,75
123,97
63,69
69,87
63,77
52,63
81,102
41,81
49,47
65,74
57,91
108,100
100,89
103,86
102,86
20,75
112,90
32,65
106,81
57,78
79,71
126,94
91,96
133,88
85,98
85,59
127,96
100,88
78,96
71,90
88,89
72,89
31,75
100,100
110,99
79,91
58,71
46,60
89,94
107,98
71,97
42,87
72,83
104,94
116,96
86,90
83,101
24,62
77,95
59,81
67,88
76,87
74,93
65,86
87,86
104,78
98,91
105,84
68,78
86,96
109,88
52,72
58,80
83,88
64,65
50,76
60,88
60,83
93,64
113,94
21,43
110,102
49,85
47,78
92,69
59,79
80,92
109,94
50,67
20,61
72,65
77,82
31,62
50,75
56,73
104,90
90,97
43,78
130,102
87,74
58,77
84,88
85,82
53,67
46,79
79,81
95,90
83,79
33,70
95,100
34,70
81,81
84,84
60,78
74,91
114,97
53,74
53,78
86,82
44,87
88,71
92,96
68,70
92,72
87,82
72,80
98,89
19,61
42,84
102,69
57,64
92,67
30,72
71,77
113,97
103,86
92,100
89,79
50,56
86,82
95,83
60,84
39,81
