potds,score
100,90
103,82
77,76
99,98
83,71
67,87
80,89
48,81
103,85
103,91
104,95
61,84
88,78
100,85
69,80
80,92
24,73
77,83
66,77
97,93
80,85
54,80
112,89
43,84
127,101
90,79
108,102
92,86
70,94
40,74
90,97
26,64
73,72
54,84
104,104
56,82
73,77
48,89
113,105
36,73
73,91
127,96
69,93
66,87
86,93
71,93
82,83
41,78
103,79
38,70
125,107
83,94
89,101
49,67
80,96
42,77
100,93
107,83
65,76
93,87
79,86
94,74
114,100
38,72
58,61
67,84
37,66
106,96
64,88
100,106
109,104
85,58
35,83
75,78
65,71
96,90
118,81
86,91
108,98
32,87
65,91
45,84
75,82
63,99
99,76
49,77
68,93
112,93
88,87
87,86
70,83
106,96
80,100
81,79
125,105
78,80
40,76
92,90
66,87
51,80
53,70
82,93
131,96
89,91
105,92
88,67
76,78
61,78
50,74
57,90
80,90
121,98
73,89
56,92
100,91
84,95
87,93
91,101
21,67
92,101
62,91
93,94
102,88
77,93
56,82
108,95
29,64
69,72
80,74
101,82
45,62
91,94
82,63
56,78
51,94
