potds,score
116,90
89,102
86,95
25,64
74,88
86,76
101,93
48,65
84,75
53,60
99,99
95,94
79,69
78,80
75,92
77,88
104,108
113,86
115,106
74,76
65,71
54,81
76,98
72,68
74,75
68,90
82,76
40,72
48,83
72,81
31,74
64,84
86,87
73,87
94,84
109,85
65,76
106,86
54,78
112,100
57,84
46,86
107,79
119,89
122,96
88,83
83,73
80,85
57,88
62,57
117,97
54,75
60,81
110,101
101,90
60,89
134,88
58,96
44,77
33,74
76,93
105,91
75,72
53,87
111,86
85,89
89,88
85,75
71,82
71,87
62,71
123,89
113,93
105,90
58,88
89,78
95,88
92,91
71,76
60,88
63,89
18,54
57,93
82,64
87,94
35,72
67,85
82,83
36,77
49,87
68,74
47,77
103,91
74,90
113,97
49,79
83,100
105,96
38,86
94,84
95,82
57,88
62,102
31,62
27,77
115,99
54,87
105,96
108,94
82,77
57,93
57,78
117,95
89,89
68,82
68,76
72,97
66,84
38,72
106,83
81,73
93,78
56,70
69,77
63,96
69,94
103,90
52,79
86,85
35,64
83,79
76,86
101,99
77,80
88,83
60,74
59,75
111,88
58,95
78,91
91,91
70,83
42,74
71,85
64,81
75,76
36,78
100,80
36,72
31,67
103,102
84,86
66,81
91,95
116,93
61,66
49,85
26,70
