potds,score
70,87
73,91
28,52
91,87
83,66
85,102
77,63
124,96
34,77
98,94
61,68
112,97
106,100
93,77
65,74
54,88
124,102
50,78
94,92
71,89
30,72
92,93
76,90
61,82
101,90
81,98
93,75
103,86
77,84
81,96
110,98
78,81
103,93
34,65
88,64
100,97
60,91
74,98
97,103
78,93
21,56
125,98
68,95
67,83
45,76
66,81
83,87
69,63
64,82
81,99
30,59
16,57
57,88
53,85
40,69
54,74
52,72
122,100
57,90
70,70
58,61
52,89
116,96
86,75
104,90
82,95
115,90
88,92
112,86
62,68
43,81
60,85
14,44
90,95
60,68
69,96
51,85
39,62
60,56
77,74
112,86
102,70
71,56
38,69
25,69
98,92
65,90
56,69
84,58
78,86
67,78
48,86
108,97
87,87
32,74
89,74
80,56
78,81
76,78
19,64
59,82
102,78
87,92
98,83
103,94
60,83
89,70
94,87
86,99
81,71
94,57
79,82
113,87
52,91
113,97
106,89
48,77
90,98
70,88
59,84
70,87
74,70
66,83
27,68
63,88
39,78
96,75
45,68
12,59
103,92
74,94
100,90
78,73
61,81
67,84
89,84
99,77
57,86
82,62
70,81
94,53
42,66
73,83
80,91
32,72
107,93
71,70
92,80
72,70
87,78
51,57
70,99
91,90
57,70
62,87
127,91
71,93
82,64
58,74
39,52
91,86
71,80
37,69
66,52
51,72
90,97
103,79
56,75
41,83
110,91
64,86
77,74
90,71
59,81
54,54
113,85
69,60
118,88
75,93
59,79
29,60
103,100
68,87
107,74
77,72
124,98
116,97
86,81
50,79
66,88
115,95
51,74
69,86
59,81
81,84
113,91
106,86
83,90
46,86
74,77
62,75
89,96
35,70
130,87
74,94
42,83
69,74
83,88
120,95
66,68
93,77
65,73
64,77
63,93
38,78
64,93
83,99
41,47
94,99
100,104
53,84
70,79
78,79
64,59
112,79
72,75
72,68
71,84
95,79
61,98
120,86
56,70
94,89
79,93
60,91
50,89
105,90
41,84
68,77
50,67
95,87
56,90
34,72
48,78
62,89
104,97
66,79
72,53
97,67
104,84
76,85
72,87
109,74
82,86
77,88
88,97
101,88
84,83
71,85
72,92
98,102
96,91
67,89
51,87
50,88
86,80
99,74
106,101
50,80
53,82
117,97
108,97
115,77
76,84
73,92
93,91
101,80
75,79
70,87
47,74
52,87
111,103
27,80
45,67
126,101
71,82
61,89
52,58
40,63
53,77
113,101
90,75
60,80
53,85
127,98
55,76
69,55
118,94
66,77
42,88
64,75
75,62
113,88
116,88
62,77
67,66
49,69
52,83
110,85
86,76
51,66
84,90
48,76
121,90
28,57
54,70
77,104
61,98
53,79
29,77
50,75
101,94
108,91
67,73
70,84
109,90
85,89
60,74
45,75
79,51
92,104
62,97
70,81
58,81
40,81
88,99
40,68
86,93
22,66
111,100
100,94
73,72
60,83
60,76
78,79
38,77
48,83
46,69
86,78
45,61
88,85
118,99
77,86
87,80
45,85
111,83
87,75
41,69
101,98
67,77
75,79
80,78
82,79
33,59
62,86
86,89
101,82
81,83
32,52
78,101
47,60
76,90
107,92
79,88
71,85
100,93
79,92
89,74
34,72
71,82
82,65
61,75
67,68
58,70
41,49
109,93
27,45
127,98
78,90
72,81
106,94
96,95
61,87
20,71
92,93
105,96
92,83
93,94
88,64
64,75
29,70
52,91
74,80
65,77
56,74
108,101
108,74
100,83
39,72
45,84
68,83
42,76
78,67
100,95
80,76
23,66
31,59
130,99
47,79
