potds,score
43,83
58,81
84,92
53,83
74,75
16,65
91,77
88,67
86,88
69,74
45,83
77,86
85,61
112,76
81,80
84,94
112,95
86,84
88,93
59,71
71,91
53,78
63,73
92,90
101,94
62,92
66,94
49,84
57,68
97,96
103,102
77,75
89,95
89,98
48,74
97,96
67,71
104,103
63,94
130,97
53,90
64,88
95,96
54,67
12,49
109,90
59,78
52,86
85,83
59,60
102,92
68,63
31,71
50,73
45,56
121,92
93,80
48,90
49,71
66,99
81,88
88,86
101,97
86,74
69,89
49,84
94,86
107,100
107,101
75,89
61,77
89,94
65,81
45,60
68,82
46,77
104,90
84,96
63,89
47,85
72,73
62,86
52,76
115,98
62,64
74,90
97,91
16,56
61,88
54,83
72,86
64,84
95,79
104,96
64,89
81,92
86,76
65,96
120,96
71,80
58,73
93,82
106,98
41,86
59,78
92,101
50,89
66,86
73,80
27,76
84,95
69,83
87,97
94,80
104,90
128,104
72,95
54,89
38,70
95,86
87,88
88,83
108,94
88,93
114,101
43,87
84,80
70,85
87,86
64,83
28,76
50,83
64,81
68,91
95,90
119,97
78,64
79,83
32,68
99,88
74,94
94,92
77,97
81,85
79,94
82,85
95,92
