potds,score
36,81
95,89
63,86
55,77
86,73
83,76
99,78
69,104
94,82
113,86
38,79
69,91
35,77
59,87
94,94
64,88
49,74
92,95
78,65
72,85
91,85
72,83
67,71
96,86
86,74
61,71
46,65
129,91
56,88
91,83
95,96
71,100
85,80
115,83
54,73
63,97
101,95
70,81
68,73
44,82
59,77
124,83
116,99
31,83
49,80
61,97
51,93
48,80
86,93
100,94
35,58
60,91
76,65
108,90
100,75
64,98
94,94
87,82
52,79
68,71
81,83
47,53
69,84
98,89
41,62
67,97
85,80
57,64
83,84
63,82
56,87
32,69
51,58
68,93
67,88
67,72
51,64
105,83
30,70
120,99
87,84
96,100
112,85
98,80
105,84
88,88
67,89
97,87
61,99
74,83
94,99
117,97
56,85
81,61
87,97
106,100
72,89
49,86
49,83
70,75
123,97
52,63
108,100
103,86
20,75
112,90
32,65
91,96
85,98
31,75
100,100
46,60
89,94
42,87
72,83
104,94
116,96
86,90
83,101
24,62
77,95
59,81
65,86
104,78
98,91
86,96
52,72
60,83
49,85
80,92
77,82
50,75
56,73
90,97
130,102
53,67
95,90
81,81
114,97
53,78
92,96
68,70
92,72
72,80
98,89
19,61
42,84
92,67
113,97
103,86
92,100
50,56
86,82
39,81
