potds,score
43,61
45,78
97,94
77,88
100,75
81,64
114,92
58,51
86,94
124,97
88,75
71,99
122,101
74,78
66,67
41,64
57,90
45,78
86,75
65,55
55,69
102,70
65,90
79,82
126,86
60,80
46,70
74,98
66,83
45,63
58,89
77,89
47,66
89,90
51,80
57,70
91,64
36,56
92,84
85,95
80,70
115,97
81,76
59,91
43,62
66,83
93,80
74,52
69,68
88,79
74,77
113,83
74,77
71,81
72,89
65,85
72,76
110,81
105,91
127,96
95,79
11,63
41,78
107,83
90,79
56,90
69,72
116,94
93,87
25,56
102,79
110,81
33,78
58,50
73,65
47,68
55,89
89,83
87,84
63,69
40,63
111,102
57,58
79,80
69,55
133,88
66,89
64,81
127,96
67,86
95,80
0,46
68,78
111,100
92,69
113,96
74,61
93,99
33,59
43,59
83,79
70,91
34,70
31,61
79,88
79,92
80,85
72,87
100,95
23,66
