potds,score
75,99
34,67
61,72
61,50
85,89
31,91
71,47
121,47
69,50
34,90
81,59
73,52
85,56
115,92
17,95
67,58
62,46
98,92
89,86
13,83
61,95
55,96
35,59
62,97
70,93
65,56
44,100
59,84
57,47
65,68
42,81
60,69
52,68
108,96
42,49
64,63
37,63
53,97
91,53
52,53
90,51
74,100
38,89
113,76
87,70
61,75
32,64
84,61
77,96
95,46
40,73
44,50
56,46
85,45
101,52
85,52
130,68
33,79
86,51
96,99
36,76
38,99
77,73
89,45
111,89
117,54
68,90
75,48
90,57
96,67
107,49
84,62
60,62
79,51
82,51
88,69
100,86
48,60
60,87
109,95
72,92
41,46
73,63
43,72
73,77
72,95
86,47
113,74
32,63
41,66
102,55
57,45
92,85
20,58
96,75
71,89
88,64
64,68
89,58
62,73
95,79
60,75
97,77
