autogrades,score
9,68
12,82
6,70
2,61
2,67
6,85
10,86
8,62
12,93
5,46
6,86
9,48
6,51
4,72
6,53
11,62
8,76
8,100
7,57
6,73
7,88
12,84
6,60
8,90
12,81
2,45
8,85
5,93
4,72
10,64
4,70
9,90
2,47
8,61
3,47
7,88
9,48
6,81
5,72
3,55
10,95
5,86
6,66
5,49
8,71
4,50
9,62
6,56
5,83
5,66
2,46
6,100
1,53
5,84
3,75
8,81
10,93
7,56
7,73
5,88
12,89
2,60
8,54
10,99
11,96
4,78
4,55
9,52
6,54
8,98
5,69
12,91
2,66
9,75
3,64
4,61
7,56
3,48
9,91
10,98
5,89
6,67
9,93
5,59
12,81
6,76
10,64
3,56
1,47
4,62
6,67
6,45
9,88
7,99
11,75
4,70
2,72
8,73
9,75
11,94
9,50
3,54
9,96
11,74
6,88
6,69
5,45
13,95
2,73
11,76
11,80
10,76
3,69
