potds,score
72,72
36,66
95,96
74,74
63,100
70,78
101,87
63,69
116,87
55,68
55,79
94,67
89,76
91,88
86,90
86,65
25,79
74,70
75,92
83,87
84,79
86,67
101,98
48,76
84,96
53,81
99,81
106,100
99,66
99,89
95,68
79,65
69,95
78,75
94,68
54,94
113,73
124,99
50,69
94,92
62,95
92,70
75,95
77,71
76,80
112,73
61,91
107,84
71,98
43,82
58,81
38,72
101,75
104,93
69,65
64,97
81,92
113,75
115,96
65,74
103,69
77,98
81,99
35,95
59,86
94,85
64,77
74,95
78,96
49,87
92,86
65,88
31,73
54,68
78,80
103,80
99,88
100,98
82,81
60,71
76,97
69,94
72,75
74,95
91,69
97,97
109,65
102,85
72,79
68,78
72,71
67,72
96,78
74,73
68,83
67,90
49,89
35,80
45,71
75,91
86,65
82,85
53,94
61,100
67,71
102,74
121,92
40,92
46,82
60,92
56,84
48,70
115,88
72,74
52,69
129,72
56,92
66,73
70,67
91,73
114,77
78,76
95,78
52,74
112,77
71,94
90,95
43,67
31,95
64,100
85,70
115,76
86,81
80,91
54,95
67,73
58,74
63,92
88,77
112,76
73,86
60,100
14,82
101,85
70,77
68,81
69,99
54,96
94,68
109,80
99,70
39,66
60,75
84,67
44,94
109,89
112,89
65,93
25,71
60,65
98,93
59,65
106,76
54,65
97,88
46,99
124,67
65,88
97,77
51,92
116,77
87,85
31,94
115,92
98,70
90,70
112,65
64,84
120,76
49,98
94,87
61,93
49,76
60,83
81,77
113,85
63,88
79,69
58,76
51,80
57,90
48,91
44,96
30,87
65,68
113,72
62,96
46,79
86,89
107,65
100,87
119,68
48,97
122,100
87,69
117,99
90,98
82,71
93,93
87,91
88,70
66,94
57,88
83,81
63,92
70,95
35,67
103,93
60,100
116,75
48,79
56,95
80,87
73,65
76,85
77,76
75,87
79,65
57,99
100,87
78,70
61,77
76,74
67,66
59,68
108,89
57,77
62,71
93,87
119,80
117,79
57,93
54,98
60,99
100,78
73,84
110,84
101,77
32,81
107,84
71,86
64,85
78,96
96,85
60,87
134,70
94,85
38,80
98,95
58,94
44,97
60,75
75,89
87,85
64,84
86,68
33,89
106,96
70,73
52,92
91,80
108,94
62,82
76,71
105,87
127,77
75,93
71,81
41,73
53,82
111,78
68,80
111,87
91,75
71,82
81,97
85,82
47,69
90,73
77,72
89,81
69,82
70,73
41,92
98,81
58,88
85,81
77,70
89,70
78,65
41,66
53,98
71,84
67,82
71,97
44,84
73,90
113,83
85,77
62,66
118,79
41,74
123,68
98,75
60,97
113,72
105,70
75,86
113,89
58,82
103,85
57,66
83,90
63,80
107,77
82,97
77,68
116,100
86,84
114,75
78,65
114,70
78,82
72,98
73,96
89,76
57,83
95,78
56,73
32,89
43,73
64,77
56,88
92,90
71,71
56,83
60,83
63,89
81,87
51,74
66,84
78,100
41,70
83,86
68,93
64,99
18,66
117,88
62,77
79,87
89,99
57,65
82,82
112,81
22,65
87,84
35,85
67,99
89,65
67,79
51,96
82,100
74,71
42,70
69,72
83,87
36,80
78,87
64,79
41,77
67,65
107,70
63,85
49,86
61,92
83,83
68,77
46,96
47,94
89,65
75,78
103,75
51,71
59,76
112,67
105,74
74,75
87,76
72,69
71,96
113,81
60,82
119,77
49,88
120,70
70,94
79,93
30,90
65,75
120,71
87,72
83,79
62,66
41,82
105,84
96,90
112,69
98,80
105,85
88,94
92,85
67,92
97,66
61,90
39,81
24,73
103,81
38,98
34,91
48,87
74,80
66,90
73,77
56,89
84,87
94,100
117,99
94,90
72,79
88,80
101,98
71,69
106,83
56,92
78,95
81,78
72,98
87,88
73,74
106,99
98,88
96,70
95,70
51,92
103,78
90,88
57,74
103,77
108,65
60,83
72,92
49,90
106,97
50,91
53,76
108,100
62,89
115,66
41,94
93,93
49,90
31,77
49,94
70,68
123,100
46,72
54,100
131,96
70,90
66,78
52,84
70,80
27,77
108,92
52,75
107,73
45,81
115,89
103,82
126,94
20,96
59,86
54,86
54,88
112,73
56,95
42,82
67,67
32,85
105,69
53,77
127,89
91,92
118,81
