potds,score
34,68
55,57
33,85
60,78
43,100
75,98
82,93
48,81
39,66
46,77
77,54
70,82
53,71
103,94
49,100
112,91
43,96
58,87
29,76
104,73
120,86
64,91
65,66
85,70
69,86
39,97
31,73
91,72
60,100
99,70
61,93
41,77
124,100
121,27
48,74
90,54
82,54
35,81
74,96
71,100
83,61
78,100
102,62
122,89
117,73
56,94
60,57
102,85
81,61
101,100
105,64
78,66
73,53
66,73
111,86
78,89
112,95
90,100
74,94
83,67
80,77
63,90
67,62
60,62
65,74
113,62
80,89
54,87
84,61
109,97
60,72
62,73
67,89
116,92
45,51
97,84
97,72
13,68
51,100
120,65
85,89
115,92
62,99
79,100
84,81
96,50
49,74
74,100
44,100
78,45
67,100
45,69
37,80
54,67
87,59
117,81
104,73
27,92
72,80
94,88
99,58
68,83
93,100
66,100
63,100
59,70
43,85
97,65
56,97
49,49
73,74
104,81
49,92
59,87
57,63
47,80
93,88
119,95
95,92
101,75
42,100
52,74
78,87
96,100
38,63
98,97
52,73
60,80
106,80
84,100
28,83
108,100
41,67
58,66
53,79
71,75
64,56
102,84
89,79
36,83
75,100
123,70
32,100
129,91
89,98
48,88
70,92
58,72
110,47
79,65
89,68
78,80
44,71
98,67
43,84
66,43
98,77
130,47
114,79
118,100
75,88
113,98
114,100
112,91
82,96
92,80
77,91
114,70
78,56
72,100
73,100
88,63
57,68
85,88
64,97
89,72
64,79
56,100
87,76
117,86
66,99
87,74
78,100
52,54
83,86
103,76
32,70
83,64
117,77
79,99
108,91
112,95
58,82
22,83
106,77
76,100
98,100
95,60
114,58
78,100
114,73
89,65
108,80
75,76
56,54
105,86
85,56
59,75
78,75
60,73
119,78
58,100
11,85
101,69
76,100
72,100
85,41
62,60
90,78
40,84
41,87
92,87
90,72
130,57
64,90
96,73
80,59
39,62
107,74
116,93
115,83
56,79
25,82
86,75
38,90
106,93
103,91
8,94
33,90
101,67
113,44
71,76
89,25
108,74
45,90
112,25
49,85
73,65
89,64
61,100
75,75
46,68
54,100
131,100
81,75
26,100
59,92
57,90
69,85
90,68
113,100
91,86
105,83
59,83
54,68
59,63
73,94
87,83
57,54
79,91
49,80
78,75
66,100
72,60
64,72
94,46
61,93
90,63
116,57
107,37
90,46
63,74
108,84
57,100
57,96
80,91
101,77
79,66
106,47
16,91
84,66
80,52
99,80
55,100
43,100
107,100
58,83
112,68
47,89
45,71
103,71
99,70
79,35
129,95
41,97
60,98
95,80
76,46
75,90
72,78
66,48
53,100
73,90
117,88
94,51
48,100
71,73
73,63
90,93
61,58
68,53
24,100
53,68
74,76
48,65
68,96
67,100
59,95
47,71
119,90
79,57
59,42
87,81
80,96
113,61
107,100
104,85
84,100
57,74
103,91
112,90
18,67
73,85
32,94
60,64
106,48
86,75
72,60
57,87
86,37
87,100
82,77
99,100
113,81
79,54
31,55
63,96
71,97
105,73
87,99
70,45
52,70
66,81
86,68
44,96
20,31
125,88
70,71
78,85
62,100
80,38
49,96
104,100
50,65
60,53
51,92
95,80
88,52
57,98
95,74
64,100
124,72
98,58
82,51
93,85
51,87
62,53
114,100
65,75
90,100
49,86
81,82
112,74
