potds,score
100,75
103,90
77,66
99,94
83,55
67,67
80,58
48,100
103,62
103,64
104,100
61,72
88,76
100,58
69,83
80,69
24,100
77,100
66,60
97,79
80,76
54,100
112,75
43,100
127,91
90,75
108,82
92,70
70,84
40,73
90,64
26,62
73,71
54,86
104,100
56,88
73,65
48,95
113,79
36,100
73,87
127,98
69,69
66,57
86,98
71,75
82,73
41,72
103,80
38,78
125,99
83,79
89,66
49,54
80,86
42,71
100,74
107,57
65,90
93,73
79,84
94,52
114,85
38,69
58,65
67,80
37,55
106,97
64,83
100,100
109,87
85,63
35,94
75,94
65,95
96,86
118,74
86,86
108,98
32,100
65,96
45,100
75,96
63,89
99,58
49,85
68,98
112,76
88,93
87,73
70,90
106,86
80,100
81,55
125,100
78,76
40,63
92,99
66,68
51,70
53,49
82,81
131,73
89,82
105,78
88,53
76,100
61,100
50,69
57,95
80,74
121,83
73,100
56,66
100,100
84,80
87,83
91,91
21,65
92,97
62,100
93,67
102,88
77,94
56,83
108,100
29,74
69,67
80,59
101,63
45,74
91,71
82,60
56,64
51,98
