autogrades,score
2,75
5,90
11,66
5,94
5,55
10,67
2,58
12,100
8,62
2,64
9,100
11,72
11,76
8,58
7,83
9,69
10,100
10,100
2,60
10,79
8,76
12,100
7,75
7,100
9,91
4,75
9,82
6,70
6,84
10,73
5,64
3,62
4,71
6,86
5,100
10,88
4,65
5,95
11,79
13,100
5,87
11,98
11,69
9,57
12,98
8,75
8,73
10,72
11,80
5,78
6,99
10,79
9,66
5,54
11,86
4,71
3,74
4,57
6,90
11,73
9,84
4,52
7,85
10,69
5,65
5,80
4,55
9,97
6,83
13,100
12,87
3,63
8,94
11,94
11,95
8,86
9,74
12,86
9,98
13,100
12,96
6,100
7,96
5,89
8,58
6,85
7,98
11,76
6,93
4,73
4,90
4,86
12,100
2,55
11,100
7,76
5,63
7,99
4,68
10,70
8,49
8,81
9,73
5,82
11,78
5,53
11,100
9,100
4,69
9,95
3,74
8,83
6,100
7,66
12,100
7,80
10,83
11,91
2,65
9,97
10,100
5,67
7,88
12,94
10,83
11,100
8,74
10,67
8,59
7,63
2,74
3,71
7,60
4,64
13,98
