autogrades,score
10,66
5,88
5,100
6,86
10,65
7,66
12,100
12,100
7,77
9,80
11,73
10,89
6,63
12,84
12,100
8,100
12,88
5,52
13,92
6,100
9,85
7,57
8,66
5,72
4,60
9,84
9,68
5,71
10,88
6,91
13,100
6,78
10,72
5,70
10,73
2,74
6,100
5,80
8,94
5,83
8,85
11,95
7,98
6,96
8,72
7,66
3,63
9,100
11,67
6,48
9,98
6,89
8,100
11,100
11,75
9,84
7,70
6,94
2,68
5,100
4,58
9,100
5,75
11,80
10,91
6,68
9,81
10,96
3,63
4,78
7,63
5,92
8,74
11,92
9,71
13,93
9,94
11,91
11,85
4,88
6,72
5,96
10,91
13,94
9,65
9,100
9,85
8,81
4,81
8,60
5,80
9,56
11,100
11,92
10,100
1,59
8,80
5,78
4,79
9,77
10,76
10,100
10,73
9,88
7,85
9,73
5,84
11,91
5,88
4,79
11,79
12,88
7,95
9,87
6,82
6,100
9,98
6,78
9,99
7,82
8,58
1,54
5,83
10,85
6,63
13,91
11,79
4,86
12,81
8,77
12,91
6,88
7,68
8,81
