autogrades,score
11,97
9,68
5,63
5,58
5,70
12,95
5,57
8,27
6,44
5,100
3,61
4,53
4,70
11,73
12,93
1,49
5,59
8,78
5,83
6,68
7,100
6,85
7,70
12,99
7,100
9,45
10,100
10,87
11,62
10,82
5,100
8,82
2,74
10,89
9,56
4,56
4,48
8,80
6,56
4,41
4,48
11,100
12,81
9,80
3,74
3,63
5,70
7,78
7,88
7,60
5,60
2,51
3,54
7,56
9,69
1,41
2,57
9,70
10,68
12,100
7,91
12,90
2,54
7,25
5,100
8,71
10,93
5,32
4,63
2,55
3,37
7,66
6,68
7,35
9,45
3,60
4,85
5,65
11,95
8,100
9,76
5,58
5,71
9,66
9,85
6,88
1,37
8,81
9,52
2,55
2,40
5,36
2,65
5,62
4,75
10,93
12,79
7,54
4,55
5,53
8,60
12,92
5,94
