potds,score
72,66
77,76
36,76
100,75
95,98
84,100
73,73
63,77
74,88
75,97
93,77
43,100
43,52
63,100
70,80
80,73
101,86
45,81
63,70
73,93
116,100
34,68
103,90
73,81
28,42
55,57
55,90
73,91
58,78
77,66
94,65
99,94
89,96
91,68
86,83
20,79
83,55
97,75
83,56
88,59
85,98
84,83
86,56
34,88
81,37
77,71
25,74
74,63
124,95
33,85
110,50
60,78
43,100
53,56
34,75
67,67
75,98
98,86
83,100
82,93
84,66
48,81
86,71
80,58
74,87
48,100
101,83
16,83
61,79
47,87
48,76
49,91
84,93
39,66
112,66
46,77
79,79
53,80
99,86
56,41
106,90
93,65
87,87
103,58
103,62
103,64
91,88
99,71
74,100
99,100
95,86
102,91
88,61
79,84
77,54
86,91
69,100
66,57
120,100
78,63
69,96
94,50
65,74
104,100
54,100
113,73
124,99
70,82
61,72
100,52
50,56
65,89
53,71
94,98
118,84
88,76
100,58
62,100
71,70
45,87
103,94
30,75
49,100
39,84
69,83
92,78
75,100
77,79
76,91
77,61
80,69
112,91
61,63
61,58
61,90
107,77
71,80
43,96
58,87
38,75
87,71
24,100
29,76
101,69
104,93
77,52
69,82
104,73
120,86
64,91
64,66
81,100
113,58
115,100
65,66
77,100
85,70
93,63
87,83
53,63
103,59
77,83
85,70
81,87
35,80
59,76
108,100
60,47
94,76
69,86
120,29
110,61
112,53
64,67
74,98
78,85
49,97
92,95
39,97
65,96
97,61
31,73
37,54
66,60
31,95
112,60
91,72
54,48
78,67
103,78
81,77
84,97
90,100
97,79
81,67
114,85
60,100
34,89
112,95
36,79
99,70
61,93
88,61
58,43
100,95
82,73
60,89
101,46
86,82
80,76
76,92
69,89
72,56
74,87
91,81
97,100
78,75
54,100
65,67
70,61
71,57
109,63
112,75
41,77
102,84
86,70
124,100
88,82
72,97
21,60
43,100
42,93
121,27
125,91
68,94
72,81
48,74
67,62
96,62
74,84
68,91
90,54
59,69
88,84
67,78
98,71
82,54
49,100
35,81
45,89
75,100
66,46
127,91
90,75
108,82
74,96
71,100
86,69
82,74
83,61
53,88
69,44
83,61
78,100
64,66
66,100
71,57
63,79
61,100
67,52
102,62
121,92
122,89
40,85
46,68
60,100
94,52
92,70
128,79
105,88
81,85
70,84
30,46
56,71
84,100
57,61
34,100
16,80
40,73
37,95
117,73
56,94
48,77
57,100
68,86
60,57
102,85
81,61
53,70
90,64
40,82
74,67
115,85
101,100
11,93
72,81
54,46
105,64
78,66
53,100
73,53
66,86
117,76
41,83
52,53
85,70
129,57
63,72
122,100
26,62
79,43
73,71
56,99
66,73
57,79
3,66
70,66
91,60
114,57
111,86
115,73
78,89
95,69
58,70
52,76
112,95
71,100
116,88
90,100
126,59
43,66
45,69
17,93
74,94
74,82
102,100
31,99
64,100
83,67
85,52
32,73
54,86
86,34
115,62
104,81
86,61
92,94
67,49
91,72
80,77
63,75
63,90
54,85
101,100
95,36
74,46
67,82
67,62
58,72
82,100
104,100
115,73
52,62
60,62
69,67
63,100
62,95
65,74
79,73
87,96
122,50
113,62
88,69
56,88
112,68
55,100
73,79
86,92
73,65
66,80
62,59
43,90
109,90
60,90
14,63
62,100
101,85
48,95
