potds,score
70,80
73,93
28,42
91,68
83,56
85,98
77,71
124,95
34,75
98,86
61,79
112,66
106,90
93,65
65,74
54,100
124,99
50,56
94,98
71,70
30,75
92,78
76,91
61,90
101,69
81,100
93,63
103,59
77,83
81,87
110,61
78,85
103,78
34,89
88,61
100,95
60,89
74,87
97,100
78,75
21,60
125,91
68,94
67,78
45,89
66,46
83,61
69,44
64,66
81,85
30,46
16,80
57,100
53,70
40,82
54,46
52,53
122,100
57,79
70,66
58,70
52,76
116,88
86,34
104,81
82,100
115,73
88,69
112,68
62,59
43,90
60,90
14,63
90,100
60,80
69,92
51,92
39,69
60,62
77,63
112,93
102,44
71,68
38,72
25,64
98,90
65,79
56,65
84,38
78,76
67,75
48,96
108,87
87,73
32,90
89,53
80,35
78,59
76,100
19,100
59,78
102,73
87,76
98,53
103,54
60,85
89,65
94,83
86,74
81,61
94,28
79,69
113,65
52,86
113,81
106,73
48,77
90,93
70,60
59,87
70,84
74,69
66,56
27,100
63,95
39,80
96,81
45,79
12,88
103,79
74,60
100,73
78,55
61,83
67,76
89,100
99,87
57,98
82,58
70,69
94,31
42,63
73,83
80,71
32,100
107,85
71,95
92,73
72,68
87,62
51,78
70,91
91,69
57,80
62,92
127,77
71,79
82,55
58,91
39,45
91,95
71,100
37,48
66,69
51,66
90,73
103,59
56,63
41,88
110,69
64,100
77,58
90,48
59,84
54,49
113,81
69,33
118,78
75,67
59,100
29,79
103,76
68,93
107,57
77,67
124,84
116,94
86,89
50,73
66,62
115,78
51,100
69,100
59,70
81,100
113,80
106,61
83,68
46,100
74,57
62,74
89,89
35,88
130,67
74,66
42,60
69,77
83,99
120,73
66,76
93,84
65,95
64,86
63,100
38,85
64,100
83,87
41,52
94,86
100,95
53,70
70,99
78,85
64,25
112,65
72,68
72,66
71,100
95,47
61,100
120,64
56,60
94,88
79,88
60,83
50,89
105,67
41,85
68,58
50,53
95,86
56,88
34,100
48,72
62,94
104,100
66,83
72,54
97,49
104,56
76,100
72,69
109,59
82,75
77,54
88,81
101,94
84,82
71,82
72,100
98,96
96,78
67,63
51,95
50,100
86,71
99,72
106,100
50,81
53,78
117,71
108,91
115,63
76,87
73,77
93,91
101,83
75,64
70,85
47,55
52,91
111,100
27,100
45,100
126,100
71,93
61,96
52,51
40,34
53,100
113,72
90,60
60,79
53,83
127,72
55,62
69,54
118,86
66,100
42,94
64,63
75,32
113,73
116,93
62,51
67,82
49,66
52,82
110,56
86,75
51,52
84,100
48,90
121,76
28,70
54,75
77,100
61,100
53,64
29,100
50,48
101,71
108,77
67,38
70,97
109,75
85,55
60,68
45,94
79,35
92,96
62,92
70,80
58,88
40,88
88,99
40,60
86,99
22,89
111,88
100,100
73,38
60,53
60,95
78,61
38,81
48,58
46,75
86,81
45,88
88,59
118,90
77,78
87,71
45,96
111,56
87,58
41,58
101,99
67,73
75,94
80,80
82,84
33,87
62,60
86,86
101,69
81,55
32,52
78,85
47,65
76,83
107,91
79,86
71,96
100,100
79,93
89,73
34,66
71,83
82,61
61,58
67,66
58,81
41,55
109,77
27,35
127,81
78,98
72,90
106,84
96,100
61,97
20,62
92,87
105,100
92,89
93,100
88,79
64,54
29,73
52,94
74,76
65,83
56,71
108,82
108,74
100,91
39,93
45,100
68,100
42,83
78,73
100,64
80,73
23,75
31,68
130,81
47,96
