potds,score
75,97
34,68
61,63
61,58
85,70
31,95
71,57
121,27
69,44
34,100
81,61
73,53
85,70
115,73
17,93
67,49
62,59
98,78
89,83
13,68
61,100
55,85
35,70
62,99
70,100
65,45
44,100
59,87
57,62
65,82
42,100
60,82
52,74
108,89
42,56
64,56
37,48
53,80
91,56
52,41
90,48
74,100
38,81
113,80
87,74
61,63
32,70
84,78
77,88
95,60
40,60
44,51
56,54
85,56
101,69
85,41
130,57
33,70
86,68
96,100
36,91
38,90
77,54
89,25
111,100
117,71
68,93
75,32
90,63
96,55
107,37
84,66
60,68
79,35
82,45
88,60
100,85
48,65
60,95
109,100
72,76
41,58
73,71
43,66
73,85
72,88
86,37
113,81
32,52
41,55
102,40
57,36
92,65
20,62
96,75
71,93
88,79
64,54
89,55
62,53
95,60
60,92
97,94
