autogrades,score
10,83
10,90
1,44
8,63
5,80
10,62
4,83
3,67
5,50
5,52
6,44
4,65
12,78
7,56
9,62
7,68
13,95
12,84
5,99
10,83
8,100
9,100
2,43
2,75
7,80
7,30
12,91
4,72
5,63
9,86
9,44
7,35
7,44
1,44
8,66
5,95
5,83
10,96
1,33
9,100
8,68
2,73
9,41
6,61
5,53
3,61
8,73
2,71
11,67
7,82
11,67
7,71
2,60
3,51
6,92
10,76
3,27
5,53
6,100
5,74
8,67
3,70
10,95
11,100
8,57
8,89
5,49
1,59
6,54
9,53
2,36
8,41
4,61
4,76
3,47
8,37
4,66
12,98
11,64
9,59
12,84
13,100
7,63
7,49
9,68
10,92
6,78
8,70
5,98
7,85
7,28
4,72
11,100
8,65
9,51
9,100
1,47
10,86
8,73
12,100
9,72
9,44
13,94
10,71
2,68
3,71
1,31
6,86
12,100
11,66
