potds,score
100,92
84,83
73,79
63,74
93,83
43,100
73,77
103,99
58,68
77,47
99,92
20,78
83,58
85,95
84,100
34,100
77,77
124,100
60,69
43,100
53,71
34,82
67,51
98,80
82,73
48,84
80,68
74,100
48,100
16,90
61,69
47,100
49,100
39,56
112,74
79,78
103,65
103,61
103,45
91,81
88,60
86,86
69,83
65,83
104,100
70,100
61,68
65,98
53,87
88,87
100,51
71,83
45,78
103,100
30,95
49,100
39,72
69,66
77,71
80,63
24,100
104,66
120,100
77,88
93,43
87,78
85,59
60,46
69,98
112,50
39,100
66,42
91,59
81,90
84,99
90,90
97,59
60,100
112,100
36,76
61,82
88,57
86,72
80,66
78,68
54,99
112,74
41,80
88,94
43,100
48,85
90,39
59,77
82,35
66,39
127,83
90,91
108,93
74,100
78,100
71,75
63,72
92,70
128,63
81,96
70,100
84,100
40,81
37,94
117,58
57,99
102,65
53,79
90,83
40,79
105,69
53,100
117,85
63,57
122,100
26,81
73,84
111,71
58,75
116,100
126,53
74,85
74,80
102,94
83,86
54,71
104,84
92,100
63,72
101,100
82,85
104,100
115,64
52,54
69,65
62,92
79,56
122,43
113,66
56,100
86,86
73,72
66,74
62,100
48,94
32,100
113,94
36,100
49,100
57,38
60,60
51,73
97,95
99,100
114,87
38,86
73,90
62,57
127,79
69,88
116,100
45,48
56,60
103,100
111,88
78,87
50,100
66,67
67,93
86,100
48,85
108,77
87,91
71,74
77,76
82,70
51,68
41,92
89,58
120,79
89,80
19,87
59,59
102,59
77,67
85,87
103,70
59,91
72,72
94,66
89,96
38,81
48,81
123,69
87,72
97,100
67,51
125,87
83,83
87,78
104,100
67,67
52,91
63,100
67,89
89,81
130,78
45,88
106,61
53,96
54,82
49,65
80,81
61,87
42,62
104,78
64,100
106,77
27,78
72,80
70,76
94,93
80,84
68,90
95,100
100,85
59,62
27,87
63,80
40,100
97,81
39,94
92,87
49,62
54,68
12,79
91,73
104,66
109,79
59,100
96,70
45,97
103,60
74,73
46,100
52,72
85,100
47,68
116,68
59,49
89,95
125,74
99,72
101,79
107,57
102,75
68,62
65,81
31,81
93,73
50,98
79,93
92,71
52,79
72,48
61,90
45,61
87,74
51,92
51,62
84,80
28,69
121,75
126,60
88,56
93,53
94,32
58,90
48,100
71,94
102,68
49,98
66,80
81,100
88,100
66,55
89,88
101,98
114,100
86,64
123,74
69,96
32,80
91,100
49,89
45,100
129,95
56,77
94,95
64,100
79,59
94,100
59,71
78,55
38,72
57,74
98,66
75,77
53,50
107,85
107,76
58,59
114,82
75,81
118,92
86,96
59,100
52,75
91,81
67,97
61,72
68,82
112,92
37,69
124,99
43,97
50,80
92,60
77,77
66,77
85,78
115,75
51,99
89,85
65,85
106,100
64,98
69,88
89,60
88,48
89,54
64,86
87,61
92,93
100,100
59,82
52,41
45,76
68,92
83,95
109,86
103,66
83,71
108,87
100,86
58,97
46,83
106,69
61,92
104,84
76,95
98,100
95,78
120,92
114,70
84,96
66,81
93,65
63,76
47,100
72,48
38,96
114,75
108,67
85,47
37,83
62,98
108,97
94,96
53,80
78,68
35,95
52,96
75,92
65,77
115,89
96,86
78,58
61,100
58,96
94,100
60,78
76,89
62,47
69,78
118,58
84,100
44,85
63,100
105,58
74,69
97,74
86,83
40,83
95,100
16,62
64,100
108,90
96,82
80,62
107,69
93,76
32,100
55,91
65,85
100,55
104,100
115,88
76,94
89,98
86,69
61,54
84,87
45,90
83,82
34,83
54,84
75,84
72,98
100,100
48,81
71,63
64,69
86,69
45,83
63,100
99,58
95,92
49,69
104,82
76,74
68,87
73,95
64,87
89,53
81,68
75,69
112,71
88,95
81,64
87,79
69,100
59,78
86,87
47,66
63,94
57,72
81,95
69,100
90,68
41,78
65,100
120,66
65,48
57,53
70,90
113,94
111,93
106,94
105,79
71,93
71,64
102,76
59,56
58,79
61,100
93,85
73,100
106,75
53,100
87,76
113,85
41,100
80,100
81,55
59,62
92,88
90,62
49,90
60,98
125,97
78,83
40,83
78,59
57,60
55,44
126,75
50,73
66,90
92,88
66,78
66,82
73,65
116,61
27,81
113,83
116,86
100,67
84,78
63,78
108,100
51,80
57,98
78,99
88,77
69,82
110,58
53,56
82,94
79,61
86,57
58,87
131,65
84,85
89,100
105,84
107,88
87,99
88,33
101,71
79,64
76,80
61,100
77,91
61,92
50,72
99,84
29,100
43,100
67,72
107,100
57,100
50,65
101,82
94,85
112,73
76,68
104,100
80,59
74,100
108,94
70,100
128,100
103,54
45,95
87,68
72,85
54,97
38,74
129,90
95,62
92,100
62,100
41,89
121,71
73,100
58,86
87,61
88,89
72,82
66,46
53,100
86,100
58,92
83,100
22,92
117,100
108,87
88,83
114,100
50,100
60,91
100,83
94,59
56,79
100,100
84,81
87,100
73,50
113,100
91,100
43,100
110,91
84,72
70,58
59,81
87,96
78,50
21,69
59,77
50,57
47,91
48,49
46,82
20,72
86,89
88,58
119,100
79,42
87,61
80,100
45,81
104,70
64,66
28,100
103,100
101,100
43,75
87,39
84,91
92,100
80,82
62,48
62,95
46,95
50,100
64,100
82,91
79,77
68,72
33,83
95,98
95,97
79,61
93,50
119,64
102,100
84,96
78,44
79,86
77,100
60,65
74,100
71,90
53,93
71,97
87,98
86,68
52,86
44,92
66,90
82,43
56,71
44,97
108,100
61,48
29,82
69,55
109,62
80,65
32,78
127,89
99,75
70,61
78,100
72,81
106,92
96,97
61,97
101,74
45,69
49,97
104,100
74,100
30,90
51,73
93,100
57,79
91,60
52,91
74,64
124,74
98,72
82,51
82,36
94,90
108,84
100,78
114,96
56,46
65,89
77,100
39,100
45,100
81,82
68,90
95,46
79,88
82,50
95,83
80,60
81,93
51,100
