potds,score
28,26
81,57
33,80
56,24
118,89
53,70
110,79
112,73
34,91
101,66
65,59
21,65
42,94
125,100
83,73
66,86
30,63
68,67
60,38
11,86
79,50
91,62
95,34
74,29
60,47
90,100
117,100
80,33
78,77
61,98
84,68
96,61
86,90
71,67
79,83
77,88
83,88
99,76
74,49
49,84
79,64
109,77
43,65
94,18
111,100
80,88
78,47
45,100
90,29
7,75
39,30
75,99
69,41
130,36
4,100
27,99
114,100
61,60
117,79
106,44
47,57
46,95
35,86
130,76
95,69
64,28
37,93
28,76
77,59
50,93
90,66
68,49
77,89
116,46
118,43
62,74
97,49
49,51
32,51
98,90
8,100
100,60
56,77
99,85
112,28
101,69
75,68
70,62
42,100
75,92
94,53
85,30
90,59
64,80
72,100
51,67
37,72
16,100
67,49
76,47
109,65
89,57
93,32
69,55
21,63
47,77
68,86
111,55
113,42
82,80
86,55
92,52
101,69
108,68
47,71
71,75
70,41
88,55
27,53
87,100
27,44
112,75
60,38
29,90
56,82
59,85
117,41
60,66
110,81
