potds,score
77,55
73,73
83,48
88,35
93,39
87,93
74,84
66,80
120,100
77,29
108,93
120,44
98,72
64,89
94,31
56,78
16,64
101,97
54,48
32,65
63,86
67,82
82,82
62,95
62,100
77,85
71,52
67,88
53,61
46,68
61,64
32,72
37,42
89,65
94,16
37,93
28,57
43,75
63,99
79,37
81,100
40,84
82,42
42,31
83,76
82,75
53,100
51,62
78,83
37,88
72,65
89,100
110,63
12,88
119,72
63,63
60,60
129,21
109,46
62,81
54,100
73,76
80,27
64,86
70,91
72,86
91,44
45,51
62,38
72,99
95,91
83,67
53,70
34,78
109,46
82,46
67,75
101,80
50,100
38,81
61,100
100,70
27,92
52,47
67,70
79,86
33,70
36,57
72,56
71,63
71,100
79,9
44,89
80,100
31,93
64,86
71,56
61,70
45,100
118,83
59,19
31,75
27,68
58,81
85,58
60,80
76,7
104,81
34,83
67,76
17,90
6,45
95,70
