potds,score
80,82
73,80
110,31
46,70
102,66
87,44
29,98
64,70
97,43
37,46
70,47
83,59
105,83
57,41
78,54
3,83
87,75
43,80
109,84
80,94
34,100
50,91
89,34
34,60
96,87
84,41
76,100
95,56
103,76
58,99
99,55
50,46
78,58
125,64
70,77
12,91
55,93
95,78
96,52
58,100
70,73
79,93
118,32
49,55
80,65
58,46
53,77
19,82
20,63
48,90
103,71
110,80
71,65
54,60
29,79
88,86
45,44
84,41
113,97
131,62
53,65
112,79
45,88
65,96
41,42
100,98
96,45
95,78
56,65
36,39
50,34
83,27
72,44
104,91
69,57
57,46
44,63
103,100
122,63
113,54
72,91
26,81
106,79
49,59
91,87
106,74
64,62
67,80
110,100
62,77
106,36
80,55
63,100
134,81
105,49
100,100
73,31
90,89
68,68
99,100
89,73
20,57
58,91
94,91
82,66
55,57
56,46
81,77
90,92
43,48
