potds,score
72,72
36,90
95,94
74,89
63,100
70,79
101,100
63,60
116,100
55,57
55,54
94,43
89,100
91,61
86,95
86,27
25,48
74,67
75,82
83,73
84,69
86,72
101,100
48,56
84,95
53,76
99,100
106,80
99,62
99,100
95,69
79,74
69,100
78,51
94,68
54,83
113,67
124,97
50,56
94,94
62,93
92,61
75,81
77,62
76,100
112,94
61,78
107,66
71,76
43,100
58,74
38,74
101,54
104,100
69,100
64,64
81,100
113,49
115,100
65,64
103,61
77,85
81,87
35,78
59,63
94,100
64,64
74,99
78,90
49,100
92,99
65,100
31,70
54,59
78,51
103,75
99,67
100,100
82,33
60,92
76,96
69,77
72,80
74,85
91,66
97,96
109,68
102,71
72,86
68,98
72,67
67,61
96,45
74,98
68,97
67,73
49,100
35,73
45,92
75,100
86,72
82,67
53,81
61,79
67,66
102,47
121,79
40,100
46,54
60,97
56,100
48,89
115,86
72,59
52,23
129,70
56,89
66,52
70,53
91,27
114,63
78,83
95,77
52,81
112,87
71,100
90,84
43,46
31,100
64,82
85,61
115,37
86,49
80,93
54,46
67,61
58,48
63,100
88,96
112,47
73,55
60,100
14,44
101,89
70,75
68,100
69,99
54,83
94,72
109,55
99,44
39,38
60,38
84,59
44,100
109,84
112,89
65,80
25,58
60,78
98,63
59,76
106,100
54,53
97,58
46,54
124,57
65,77
97,91
51,95
116,97
87,69
31,99
115,100
98,76
90,60
112,100
64,80
120,99
49,80
94,94
61,100
49,70
60,63
81,47
113,57
63,61
79,97
58,47
51,84
57,67
48,83
44,100
30,72
65,57
113,96
62,98
46,89
86,90
107,51
100,100
119,48
48,53
122,100
87,51
117,100
90,100
82,93
93,100
87,100
88,71
66,100
57,80
83,48
63,100
70,59
35,62
103,100
60,72
116,100
48,91
56,65
80,96
73,76
76,73
77,93
75,65
79,72
57,70
100,56
78,42
61,79
76,59
67,89
59,80
108,63
57,57
62,45
93,93
119,100
117,94
57,85
54,100
60,83
100,49
73,76
110,95
101,77
32,100
107,73
71,94
64,82
78,91
96,87
60,100
134,57
94,89
38,55
98,85
58,100
44,91
60,72
75,100
87,77
64,47
86,50
33,100
106,98
70,100
52,74
91,63
108,100
62,100
76,80
105,76
127,97
75,92
71,94
41,100
53,68
111,41
68,100
111,100
91,98
71,100
81,88
85,95
47,67
90,100
77,88
89,63
69,42
70,90
41,100
98,86
58,48
85,85
77,84
89,64
78,57
41,34
53,98
71,83
67,89
71,94
44,96
73,100
113,70
85,89
62,29
118,84
41,82
123,55
98,100
60,75
113,89
105,100
75,52
113,86
58,70
103,99
57,46
83,87
63,100
107,32
82,92
77,33
116,91
86,69
114,88
78,52
114,97
78,100
72,100
73,87
89,29
57,63
95,96
56,100
32,91
43,64
64,100
56,79
92,81
71,73
56,100
60,85
63,78
81,69
51,33
66,100
78,70
41,78
83,55
68,100
64,91
18,67
117,66
62,90
79,81
89,100
57,100
82,56
112,78
22,95
87,85
35,69
67,60
89,98
67,76
51,74
82,67
74,82
42,89
69,79
83,94
36,93
78,100
64,67
41,64
67,55
