potds,score
28,24
81,50
33,64
56,23
118,85
53,53
110,92
112,75
34,88
101,75
65,74
21,74
42,86
125,84
83,53
66,68
30,48
68,51
60,57
11,77
79,54
91,74
95,29
74,23
60,40
90,100
117,100
80,37
78,59
61,100
84,87
96,69
86,90
71,73
79,85
77,100
83,73
99,77
74,35
49,89
79,68
109,58
43,71
94,15
111,100
80,76
78,60
45,96
90,39
7,67
39,49
75,85
69,52
130,56
4,100
27,100
114,100
61,62
117,84
106,51
47,77
46,100
35,82
130,58
95,52
64,29
37,83
28,79
77,67
50,73
90,58
68,43
77,100
116,57
118,31
62,82
97,36
49,65
32,51
98,100
8,100
100,53
56,64
99,100
112,35
101,80
75,66
70,46
42,100
75,100
94,61
85,16
90,58
64,97
72,85
51,73
37,85
16,96
67,35
76,33
109,81
89,60
93,21
69,36
21,64
47,93
68,67
111,58
113,62
82,69
86,37
92,34
101,61
108,87
47,53
71,90
70,25
88,39
27,65
87,100
27,26
112,92
60,56
29,93
56,88
59,82
117,41
60,63
110,95
