potds,score
73,78
85,100
77,57
124,100
34,87
98,81
61,84
112,86
65,69
71,81
30,91
93,42
88,50
78,60
66,37
81,100
57,100
53,98
40,88
122,81
58,57
116,99
104,73
82,78
115,72
60,72
51,65
38,67
56,74
78,86
67,74
48,82
108,82
87,90
89,42
19,91
59,65
102,64
94,71
52,100
106,74
70,78
27,78
63,66
39,96
96,64
45,100
103,57
74,70
89,89
99,64
92,65
72,64
87,75
51,44
58,81
66,37
56,81
64,85
59,87
75,60
59,88
68,84
124,79
50,76
66,92
115,80
51,100
69,95
59,96
120,100
66,88
93,60
38,100
94,89
53,94
78,73
61,88
94,100
60,95
105,71
95,100
104,100
76,86
84,100
86,54
76,81
73,77
47,71
111,100
71,84
61,80
53,95
113,96
90,45
60,100
55,42
66,81
113,71
116,85
110,38
86,39
84,65
77,95
61,93
29,81
50,55
101,88
108,85
70,100
45,100
92,81
62,100
58,86
86,88
22,100
100,88
78,64
48,66
46,75
86,100
88,49
87,74
45,89
101,88
80,84
62,43
71,78
82,38
61,29
109,49
127,77
78,99
72,78
106,92
96,100
61,83
93,81
52,100
74,78
108,70
100,64
39,93
45,100
68,86
80,46
