potds,score
70,79
91,61
106,80
54,83
124,97
50,56
94,94
92,61
76,100
61,78
101,54
81,100
103,61
77,85
81,87
78,90
103,75
100,100
60,92
74,85
97,96
68,98
67,73
45,92
52,23
70,53
52,81
88,96
112,47
60,100
14,44
69,99
39,38
60,38
112,89
25,58
98,63
87,69
98,76
60,63
81,47
113,57
113,96
48,53
90,100
70,59
100,56
78,42
61,79
67,89
57,85
73,76
32,100
107,73
71,94
70,100
91,63
62,100
127,97
71,94
91,98
71,100
90,100
41,100
77,84
113,70
118,84
103,99
107,32
77,33
116,91
86,69
81,69
83,55
62,90
89,100
74,82
42,89
69,79
83,94
64,67
63,74
83,90
112,63
72,87
71,100
120,33
79,100
41,98
34,85
48,53
66,61
72,57
88,100
101,83
71,99
72,92
98,100
96,100
51,100
106,76
50,86
53,70
108,95
115,39
93,99
70,100
52,100
45,100
126,90
53,79
127,75
118,62
62,44
49,44
52,59
48,96
121,84
28,61
54,79
53,79
109,74
85,77
70,79
40,92
88,94
40,88
60,54
38,82
77,57
111,43
87,73
67,87
75,94
86,59
81,66
78,100
76,84
107,77
100,100
71,93
92,100
105,100
92,100
65,79
108,59
42,100
78,87
31,55
130,86
47,63
