potds,score
72,56
74,99
63,82
101,91
94,52
84,72
99,90
62,100
107,48
71,88
82,48
69,94
109,48
102,51
49,100
75,100
53,88
67,61
121,80
60,79
115,100
114,60
43,55
58,43
99,62
46,34
65,76
90,50
64,79
120,86
94,74
63,66
79,90
58,48
30,80
65,72
62,80
82,87
87,99
57,63
103,100
116,100
48,86
77,100
75,81
79,69
76,53
75,94
64,41
86,36
111,83
77,71
53,99
73,100
41,86
60,82
114,90
78,81
43,57
56,96
41,90
64,96
89,82
51,60
41,64
107,82
61,74
46,54
87,87
70,70
65,48
24,100
103,74
73,97
84,100
78,100
73,95
103,89
90,81
103,93
60,93
41,64
66,100
70,100
107,61
56,97
42,58
67,62
84,82
34,41
35,84
47,65
99,74
40,95
80,100
73,29
110,100
96,65
93,43
119,41
96,59
59,77
112,60
76,73
122,74
91,81
94,100
74,79
83,77
86,34
45,72
71,79
99,100
76,91
44,60
121,100
59,90
69,82
30,92
69,96
65,52
80,87
71,88
62,75
103,75
99,90
58,84
101,94
70,81
107,64
71,100
99,88
62,75
41,73
