potds,score
43,29
45,100
97,70
77,61
100,59
81,47
114,86
58,97
86,76
124,73
88,77
71,96
122,91
74,97
66,45
41,75
57,90
45,100
86,18
65,100
55,100
102,-1
65,79
79,78
126,61
60,41
46,100
74,89
66,69
45,45
58,93
77,89
47,81
89,68
51,74
57,86
91,30
36,69
92,83
85,66
80,52
115,69
81,16
59,99
43,76
66,54
93,97
74,40
69,37
88,32
74,84
113,51
74,92
71,57
72,93
65,77
72,35
110,45
105,100
127,70
95,46
11,66
41,100
107,71
90,63
56,100
69,62
116,68
93,89
25,46
102,51
110,33
33,98
58,18
73,54
47,94
55,79
89,100
87,83
63,46
40,73
111,80
57,45
79,100
69,41
133,79
66,98
64,91
127,64
67,65
95,49
0,38
68,59
111,89
92,20
113,79
74,60
93,92
33,73
43,61
83,34
70,64
34,72
31,79
79,72
79,96
80,60
72,89
100,91
23,73
