autogrades,score
7,56
3,58
13,98
11,81
12,100
8,82
7,66
10,66
13,99
4,82
5,100
6,83
1,29
5,82
8,82
10,72
6,91
8,100
8,77
7,90
7,85
2,63
11,99
11,64
4,40
3,42
5,71
1,60
8,55
5,81
7,52
4,83
6,100
3,68
8,100
6,66
8,56
3,70
2,34
7,26
12,100
7,93
3,42
10,81
5,58
4,60
9,62
7,69
7,92
1,59
8,49
10,70
12,91
4,72
10,100
2,63
8,79
6,96
10,83
9,52
7,72
6,100
3,75
6,98
8,100
12,92
5,99
5,75
6,83
13,100
9,49
5,100
6,79
8,66
12,82
11,76
7,93
2,57
13,96
2,33
8,70
4,43
7,91
6,81
5,71
8,51
2,67
5,67
10,100
10,90
7,80
4,57
6,64
9,60
7,61
2,74
9,100
12,99
9,100
8,40
4,85
4,69
11,78
11,100
10,77
5,64
7,94
7,100
7,37
5,59
9,43
11,89
6,84
9,92
7,70
5,49
7,47
9,100
11,96
12,99
5,95
6,83
7,81
3,74
5,86
6,54
11,100
9,73
8,80
3,63
11,76
11,91
3,59
6,41
7,68
1,48
12,88
9,100
6,63
8,90
2,51
10,100
13,100
6,43
11,100
7,31
8,80
8,38
6,95
7,59
9,64
11,100
2,42
13,97
2,61
7,100
13,100
9,62
7,89
6,68
5,41
8,98
1,26
8,85
11,96
11,79
5,90
4,37
6,100
10,68
6,61
6,91
9,46
3,54
12,100
3,74
12,99
11,100
8,96
12,81
6,23
7,67
3,46
1,38
4,69
1,60
6,40
6,60
1,35
6,81
2,65
5,77
7,89
3,60
7,47
9,86
11,92
12,97
9,100
8,72
7,71
8,72
3,48
12,97
6,90
9,48
13,100
3,58
6,100
10,82
11,88
8,94
4,79
13,93
7,46
6,95
7,56
11,100
8,71
7,28
6,56
6,48
9,73
12,99
4,51
11,76
11,73
7,80
8,70
6,77
11,92
8,96
7,12
10,89
12,81
6,49
6,71
9,64
5,51
12,100
8,93
3,24
12,100
12,77
6,93
7,89
8,56
13,100
8,83
13,97
9,100
1,49
7,90
12,89
12,100
5,100
7,96
10,72
5,78
9,42
12,88
6,19
7,47
5,82
10,86
3,69
4,75
13,91
8,71
11,61
6,43
12,80
7,91
10,100
6,43
10,79
1,24
5,63
6,72
6,80
5,100
5,77
7,36
4,89
4,80
2,56
5,100
2,68
6,100
4,90
1,30
5,93
12,100
10,100
7,64
4,55
8,56
8,60
6,81
9,83
8,76
11,97
8,100
10,81
11,61
8,50
8,39
7,68
9,72
6,81
7,31
9,45
11,72
5,75
8,33
9,100
3,62
2,48
8,64
4,89
5,63
8,85
5,100
9,44
6,90
10,80
8,60
9,8
2,60
9,72
9,75
7,75
8,81
6,72
4,77
11,100
11,100
8,100
4,73
4,30
6,55
8,100
9,96
12,90
9,82
13,100
11,92
12,83
12,99
11,65
7,71
6,76
1,18
7,46
7,54
4,62
6,98
2,21
5,54
8,80
11,100
11,61
1,46
9,95
2,30
2,26
6,77
11,73
5,43
5,61
12,99
3,52
5,25
8,36
5,80
10,83
12,91
7,100
4,67
11,67
9,63
6,62
7,82
7,100
9,67
5,100
2,47
12,100
9,71
10,76
3,53
3,62
3,73
11,92
2,24
8,100
9,100
13,100
12,100
11,100
8,75
5,100
12,100
10,100
8,100
10,93
6,83
8,64
13,96
6,53
4,85
5,66
9,99
7,74
11,64
11,82
3,75
6,62
8,27
6,47
11,62
5,92
6,100
5,46
10,80
8,95
5,46
6,100
7,84
4,41
13,100
10,90
6,-1
11,93
8,81
7,86
8,51
11,68
11,76
4,73
6,79
4,63
1,34
8,97
7,79
1,53
4,70
8,60
4,69
9,79
7,46
2,68
6,83
8,71
6,81
5,28
9,78
6,100
8,98
3,63
2,62
2,48
7,77
10,86
7,96
5,79
6,97
8,93
4,81
8,34
7,82
2,48
8,87
12,85
11,78
9,40
7,76
3,71
3,59
4,86
8,100
9,100
8,50
6,18
11,86
13,100
5,74
8,100
5,100
4,73
1,45
5,47
11,63
8,52
12,88
9,79
5,100
4,60
12,100
9,76
1,38
5,95
4,50
5,100
2,43
4,83
7,78
5,79
10,100
6,86
9,98
9,83
9,78
10,74
12,100
8,61
9,41
2,58
13,100
7,76
5,50
12,76
3,70
3,72
13,100
9,100
6,89
3,59
10,69
9,98
2,21
13,100
9,100
9,65
5,46
10,100
8,98
7,65
9,66
6,88
7,88
8,90
3,48
6,50
11,98
10,89
1,57
3,70
9,62
13,100
11,97
7,100
7,68
8,98
7,85
5,80
8,100
7,52
6,72
13,100
10,80
9,100
5,84
10,100
6,100
7,91
8,83
2,67
5,62
8,37
9,78
5,70
8,99
4,77
11,65
7,59
10,91
8,51
12,100
8,89
5,84
7,65
7,65
6,68
6,77
11,86
4,59
7,82
5,71
11,100
11,100
12,87
2,44
10,92
8,77
5,90
11,84
11,100
2,60
4,74
6,84
10,89
7,99
9,81
8,57
10,81
5,96
7,63
9,44
9,93
11,73
4,47
3,48
13,100
6,35
4,69
4,67
8,39
9,100
12,82
12,86
6,79
5,93
2,75
5,84
7,100
7,60
13,93
6,76
10,100
5,67
8,71
12,78
7,61
8,48
6,90
4,42
4,45
3,21
9,87
7,83
5,100
5,86
6,88
10,81
9,100
4,66
7,98
5,89
11,69
8,65
2,59
4,82
4,76
12,81
2,40
5,75
8,70
3,53
11,75
11,100
10,83
8,100
10,100
8,61
12,93
9,54
6,66
7,89
2,50
5,96
7,48
5,35
11,92
8,79
3,53
5,69
10,80
7,100
2,68
8,43
8,46
10,69
2,69
4,80
9,81
11,100
9,82
2,57
2,46
5,91
7,100
5,88
5,54
4,20
6,100
4,39
10,84
5,61
3,68
5,13
12,100
8,69
10,68
8,83
3,52
12,85
5,85
7,81
9,85
6,96
10,85
9,77
4,66
6,82
3,70
9,80
9,95
7,74
8,96
1,58
10,73
8,42
5,70
6,57
3,61
8,90
12,95
3,68
7,100
3,63
9,100
2,46
6,50
8,100
9,53
12,78
2,73
8,94
10,67
1,41
7,52
4,80
7,36
6,87
9,83
10,100
6,53
2,47
6,91
11,100
13,100
9,84
9,72
10,64
10,93
9,86
10,100
1,36
13,100
3,69
6,88
12,82
11,73
8,38
3,74
10,83
6,57
9,87
11,63
4,57
1,41
8,57
2,70
8,61
8,73
12,80
7,83
13,100
9,87
8,88
10,76
5,64
6,44
4,84
8,65
8,58
9,100
13,95
6,96
4,84
6,85
7,93
4,30
10,100
8,86
7,83
8,46
8,71
9,50
8,57
5,69
6,83
12,100
11,68
6,66
7,97
6,88
6,58
11,96
6,81
13,93
5,98
10,69
13,100
6,80
3,58
10,61
7,99
12,77
6,71
11,100
11,80
8,67
7,85
8,52
9,23
5,52
10,62
8,69
10,93
6,63
3,74
8,100
12,87
9,89
6,80
4,52
3,45
5,55
7,67
4,84
10,100
9,51
10,100
3,16
4,66
1,42
1,40
6,50
9,99
7,84
6,51
7,99
7,90
13,100
10,92
5,32
11,93
10,85
13,94
4,49
6,100
7,58
1,40
9,54
9,84
7,69
4,59
11,76
9,33
2,60
9,87
7,91
7,86
9,54
3,65
4,75
8,49
4,84
10,95
10,100
4,35
1,45
12,98
6,97
8,82
10,84
6,40
6,89
7,100
9,100
12,100
6,75
9,95
12,90
10,74
11,89
8,57
5,83
9,75
11,89
11,99
6,79
9,100
7,56
9,100
7,72
6,91
6,72
5,93
9,68
9,69
4,35
7,18
10,100
6,44
5,59
4,37
7,100
9,54
12,100
11,72
3,42
8,60
6,37
1,59
7,84
7,35
7,90
6,75
5,81
9,99
7,82
3,32
9,10
5,72
7,100
9,80
5,78
11,100
5,70
8,86
10,73
4,74
5,100
6,83
7,100
3,43
5,79
6,57
8,85
7,100
8,49
7,84
11,90
7,71
7,80
4,42
12,88
13,91
12,100
9,96
11,98
10,72
7,100
6,83
1,20
9,100
5,47
10,94
13,100
3,64
7,37
6,34
10,76
2,42
9,87
6,42
5,100
8,90
2,69
9,74
12,98
13,96
10,84
7,84
9,85
11,65
10,94
9,83
12,85
1,51
8,92
8,63
5,98
5,75
8,85
5,90
5,100
8,75
3,64
8,70
9,57
7,82
6,86
1,34
9,75
8,100
8,86
8,100
12,93
2,59
4,70
7,72
7,77
10,69
10,100
8,35
7,74
5,83
5,100
9,69
11,67
3,59
5,98
7,67
6,82
6,77
1,60
8,36
9,100
8,47
12,79
11,100
6,92
5,75
13,96
6,83
6,100
7,83
1,43
11,100
8,100
11,79
6,67
5,45
12,79
8,93
5,99
9,83
3,64
3,52
12,82
7,77
1,47
7,100
3,39
6,100
2,18
2,69
4,88
10,74
12,100
7,45
4,77
1,47
9,54
5,43
3,62
9,15
4,66
5,100
11,100
5,54
5,79
10,80
6,90
5,27
12,100
6,66
7,43
8,46
12,100
8,76
10,61
6,100
7,46
2,67
2,43
8,59
9,84
11,69
4,80
11,65
12,82
4,74
9,88
9,100
8,56
6,85
7,48
4,88
10,70
8,43
10,87
10,100
11,85
2,60
2,67
9,46
6,45
1,36
13,100
10,90
5,80
7,73
9,31
6,82
2,70
11,66
4,84
7,84
9,100
11,68
7,82
7,77
5,100
4,48
6,98
11,88
6,100
4,15
12,76
8,45
3,60
5,62
4,49
10,100
4,75
10,93
11,94
10,100
9,65
9,49
3,35
9,72
10,71
11,71
9,89
4,87
10,86
2,41
4,73
7,68
2,66
5,88
12,88
10,81
13,100
4,71
6,95
11,100
7,63
2,40
10,89
5,100
11,100
11,89
7,64
2,62
13,100
13,100
2,57
4,71
10,80
8,100
12,88
9,60
5,87
5,81
6,100
2,68
1,20
8,74
4,86
7,100
11,68
6,99
10,75
11,98
7,90
11,100
7,100
5,55
6,39
9,100
7,95
3,72
8,11
9,45
4,89
10,81
12,81
11,77
2,53
4,43
11,76
8,75
9,95
12,76
9,97
6,79
13,92
6,46
12,100
4,86
9,92
8,100
5,84
8,37
1,48
9,54
2,62
8,56
7,42
4,87
1,47
11,64
6,100
3,75
7,100
7,76
11,81
7,100
6,100
10,92
2,51
12,100
3,34
10,100
4,71
12,81
7,95
8,71
10,91
4,84
8,40
10,80
13,98
7,64
8,83
9,74
5,81
11,100
1,33
8,90
9,98
9,100
9,100
7,84
11,100
6,89
6,66
11,74
5,48
11,99
6,80
7,100
5,39
10,66
3,68
10,81
9,74
5,96
8,93
9,100
2,20
9,74
6,93
5,93
7,87
8,38
5,18
12,100
9,66
6,81
8,88
2,52
9,56
10,100
6,79
1,54
5,100
4,86
9,100
8,59
4,32
2,71
3,64
5,70
13,94
5,85
8,79
11,68
