autogrades,score
4,40
5,58
1,59
2,33
7,70
6,68
6,91
1,60
12,97
3,58
8,71
6,77
8,96
10,89
9,42
3,69
7,36
7,64
4,55
11,61
5,63
5,54
2,30
2,26
8,36
5,100
8,81
6,18
5,74
10,100
9,83
2,58
13,100
6,89
13,100
8,83
8,89
2,60
6,35
5,86
8,70
3,53
10,69
4,20
12,85
9,85
6,57
12,78
6,53
6,57
6,44
11,96
2,60
1,45
12,98
6,89
9,100
3,42
12,88
7,37
10,76
10,94
6,86
7,72
6,66
2,43
6,82
7,77
12,76
10,93
10,71
2,41
5,81
2,68
1,20
7,95
4,43
12,81
8,40
11,100
8,90
3,68
9,74
9,100
8,38
10,69
4,86
4,36
11,90
8,100
10,78
9,9
5,51
6,83
12,88
12,93
4,80
6,88
1,33
3,15
6,80
9,53
7,8
3,28
3,53
5,100
9,64
8,38
10,78
2,69
7,57
3,23
5,79
6,67
5,69
12,100
9,41
3,31
4,50
10,100
2,24
11,100
2,49
12,90
5,88
11,76
9,29
4,75
5,96
