autogrades,score
4,64
4,39
7,49
8,74
10,99
13,96
3,60
6,100
9,67
6,83
9,41
11,100
6,82
6,83
12,100
12,94
6,100
10,68
4,81
2,39
9,82
3,48
6,48
12,100
8,74
12,79
3,56
6,38
6,81
11,76
11,83
9,85
2,69
4,-4
4,79
5,19
9,75
4,86
11,100
10,81
3,43
6,72
3,44
13,100
5,28
8,78
11,64
1,55
5,74
11,61
7,75
4,54
8,23
5,30
7,68
5,85
6,100
10,80
8,72
8,96
11,93
3,45
9,93
6,23
5,93
8,75
6,100
13,91
10,62
9,100
8,79
2,39
8,100
7,61
7,37
8,45
8,82
4,63
9,100
8,96
4,45
10,100
2,68
3,71
9,72
3,73
11,71
5,92
10,85
8,62
10,100
8,80
5,100
8,87
2,62
10,100
6,75
10,80
6,76
12,99
8,40
3,75
7,74
2,74
5,80
9,30
4,59
8,78
5,47
4,73
9,77
3,62
5,87
8,100
9,35
9,61
6,64
11,80
8,52
3,67
12,100
6,72
6,90
8,100
2,29
8,75
9,45
3,44
12,81
5,100
2,69
4,82
4,77
1,37
5,88
7,61
6,83
7,48
2,58
5,86
7,80
9,80
6,51
6,93
9,93
8,84
7,73
1,52
11,63
2,71
8,78
7,44
6,88
10,67
6,56
5,56
10,75
7,30
4,78
9,100
5,57
10,100
9,83
7,65
7,100
2,58
8,71
4,73
4,39
7,100
6,73
9,31
2,52
5,60
10,100
1,33
9,98
10,72
8,52
8,82
6,81
8,99
2,49
1,24
11,61
5,58
6,91
9,80
6,72
9,86
10,85
4,80
12,83
9,80
6,78
11,79
6,89
4,50
1,58
5,100
11,86
9,69
5,76
9,55
5,56
8,100
5,57
8,71
5,39
6,18
5,100
3,72
4,77
9,65
6,72
6,98
9,47
6,18
7,58
10,68
8,100
12,100
9,72
11,100
12,100
7,83
8,80
10,67
12,83
3,60
13,96
6,100
4,60
7,71
6,45
5,82
13,100
9,78
6,91
2,69
3,43
8,97
8,29
7,56
8,72
7,54
9,80
8,70
6,71
13,100
8,41
5,94
9,83
10,68
9,93
7,79
5,100
1,38
5,100
8,55
8,73
13,100
12,90
7,62
9,76
9,46
11,100
6,100
9,51
10,100
10,81
3,56
9,100
5,70
11,74
7,90
3,74
6,46
12,87
3,61
6,35
5,100
7,80
10,97
11,65
13,97
9,70
7,47
8,60
6,77
4,66
7,39
4,60
2,58
10,80
10,72
9,99
5,47
1,53
4,56
6,36
9,20
9,11
5,54
11,72
10,84
9,34
9,34
8,74
11,97
6,81
10,91
8,68
9,80
3,49
10,86
8,46
1,58
9,80
9,76
6,75
8,79
5,34
7,40
5,61
4,83
4,79
7,63
3,57
13,100
2,37
8,-4
13,91
13,93
9,80
5,100
11,93
8,75
6,81
12,100
13,100
6,37
12,97
8,88
11,74
11,78
9,75
5,91
7,93
8,45
8,77
6,89
6,95
5,67
3,48
7,95
3,65
5,83
11,93
8,100
6,27
10,100
7,99
12,80
9,100
6,54
1,59
6,31
8,90
10,100
7,45
11,100
2,63
2,34
8,63
6,49
11,85
11,64
8,100
2,54
12,92
2,53
11,83
9,6
4,81
8,82
6,85
12,89
5,91
9,100
5,49
10,73
10,76
