autogrades,score
3,21
11,100
9,79
9,41
2,52
2,37
11,83
10,100
5,69
2,69
2,63
10,81
13,100
5,100
9,55
4,90
8,78
5,85
6,25
5,93
13,93
2,9
6,65
3,71
4,73
5,57
13,99
5,92
5,74
8,56
8,100
11,69
5,70
9,70
10,62
5,85
1,50
5,86
11,63
9,68
2,69
8,89
7,4
12,100
6,56
5,56
13,99
6,22
4,25
9,31
10,92
9,46
7,99
5,42
13,94
7,81
2,17
3,42
8,100
7,65
1,42
4,77
8,100
4,85
9,72
10,93
4,58
3,60
4,83
4,60
9,45
5,22
6,91
6,18
8,70
10,100
7,67
11,99
2,73
6,31
5,79
9,67
9,51
10,100
5,39
7,59
9,100
11,74
10,79
5,72
9,38
7,41
1,45
7,86
6,36
4,75
4,58
6,100
10,78
6,63
8,48
4,65
9,82
7,95
2,55
12,100
7,45
9,100
5,78
3,65
