potds,score
77,50
73,65
83,67
88,84
93,74
87,45
74,83
66,49
120,92
77,49
108,88
120,91
98,83
64,66
94,90
56,48
16,58
101,78
54,88
32,44
63,89
67,82
82,99
62,73
62,68
77,58
71,48
67,77
53,68
46,74
61,74
32,59
37,56
89,61
94,65
37,70
28,59
43,53
63,84
79,47
81,58
40,50
82,49
42,86
83,90
82,71
53,72
51,78
78,76
37,56
72,40
89,70
110,93
12,61
119,79
63,71
60,62
129,95
109,84
62,65
54,90
73,60
80,83
64,91
70,54
72,74
91,97
45,46
62,73
72,64
95,64
83,51
53,65
34,51
109,68
82,91
67,90
101,57
50,60
38,58
61,49
100,91
27,48
52,66
67,51
79,43
33,51
36,43
72,92
71,99
71,89
79,50
44,51
80,57
31,53
64,59
71,76
61,54
45,40
118,85
59,58
31,65
27,47
58,55
85,88
60,79
76,79
104,91
34,75
67,51
17,41
6,52
95,66
