potds,score
43,67
45,68
97,97
77,76
100,64
81,49
114,81
58,46
86,99
124,92
88,84
71,85
122,96
74,61
66,61
41,46
57,82
45,55
86,78
65,41
55,43
102,59
65,100
79,51
126,100
60,100
46,49
74,84
66,75
45,63
58,97
77,86
47,43
89,82
51,72
57,53
91,63
36,43
92,81
85,99
80,68
115,77
81,95
59,66
43,40
66,95
93,90
74,60
69,70
88,90
74,70
113,82
74,68
71,93
72,73
65,63
72,85
110,90
105,93
127,86
95,80
11,41
41,55
107,93
90,62
56,77
69,75
116,77
93,78
25,52
102,86
110,95
33,68
58,54
73,57
47,47
55,88
89,61
87,74
63,76
40,79
111,91
57,50
79,68
69,54
133,96
66,72
64,72
127,91
67,97
95,82
0,48
68,85
111,87
92,65
113,86
74,55
93,95
33,64
43,66
83,91
70,89
34,59
31,54
79,96
79,95
80,87
72,85
100,75
23,61
