potds,score
70,65
73,87
28,51
91,92
83,61
85,100
77,39
124,100
34,63
98,74
61,54
112,97
106,91
93,84
65,45
54,89
124,95
50,79
94,86
71,90
30,49
92,93
76,75
61,71
101,99
81,100
93,65
103,91
77,70
81,90
110,89
78,53
103,88
34,37
88,55
100,78
60,91
74,100
97,100
78,100
21,55
125,100
68,81
67,80
45,52
66,88
83,91
69,54
64,83
81,100
30,61
16,46
57,92
53,90
40,59
54,79
52,89
122,96
57,89
70,72
58,46
52,92
116,90
86,97
104,100
82,94
115,88
88,93
112,100
62,65
43,73
60,69
14,40
90,71
60,55
69,89
51,85
39,70
60,42
77,59
112,85
102,77
71,45
38,65
25,57
98,78
65,96
56,60
84,69
78,65
67,64
48,72
108,84
87,72
32,62
89,74
80,53
78,83
76,68
19,37
59,80
102,82
87,91
98,72
103,93
60,86
89,59
94,80
86,92
81,74
94,55
79,54
113,100
52,93
113,98
106,83
48,67
90,84
70,75
59,75
70,91
74,65
66,83
27,51
63,78
39,70
96,60
45,52
12,44
103,84
74,91
100,91
78,71
61,72
67,77
89,65
99,67
57,77
82,56
70,88
94,74
42,70
73,92
80,94
32,65
107,100
71,44
92,68
72,66
87,74
51,42
70,100
91,100
57,56
62,70
127,98
71,95
82,57
58,75
39,55
91,64
71,55
37,69
66,44
51,69
90,100
103,80
56,65
41,72
110,90
64,62
77,59
90,78
59,78
54,20
113,86
69,51
118,80
75,100
59,74
29,47
103,97
68,96
107,69
77,82
124,99
116,89
86,64
50,69
66,82
115,88
51,47
69,76
59,64
81,72
113,79
106,100
83,91
46,76
74,60
62,57
89,91
35,44
130,99
74,100
42,72
69,58
83,84
120,90
66,45
93,79
65,42
64,54
63,86
38,59
64,76
83,92
41,29
94,83
100,100
53,84
70,53
78,59
64,62
112,80
72,55
72,52
71,58
95,100
61,100
120,87
56,63
94,71
79,71
60,73
50,70
105,84
41,73
68,92
50,67
95,64
56,91
34,55
48,85
62,92
104,79
66,72
72,42
97,71
104,83
76,86
72,100
109,79
82,100
77,92
88,73
101,70
84,70
71,68
72,82
98,100
96,90
67,85
51,86
50,78
86,73
99,55
106,100
50,61
53,89
117,89
108,91
115,89
76,100
73,96
93,91
101,65
75,66
70,73
47,62
52,74
111,100
27,67
45,47
126,100
71,77
61,85
52,46
40,69
53,56
113,100
90,57
60,65
53,87
127,100
55,74
69,49
118,100
66,64
42,71
64,81
75,90
113,83
116,93
62,100
67,57
49,81
52,89
110,100
86,76
51,64
84,88
48,86
121,76
28,45
54,55
77,99
61,98
53,74
29,63
50,72
101,85
108,69
67,81
70,81
109,77
85,95
60,67
45,58
79,64
92,99
62,99
70,67
58,73
40,49
88,100
40,51
86,100
22,46
111,98
100,85
73,78
60,92
60,57
78,83
38,56
48,92
46,61
86,59
45,33
88,100
118,82
77,88
87,65
45,71
111,99
87,61
41,72
101,100
67,56
75,70
80,66
82,81
33,50
62,92
86,98
101,77
81,60
32,43
78,92
47,44
76,70
107,76
79,84
71,83
100,81
79,97
89,74
34,63
71,59
82,56
61,90
67,40
58,45
41,43
109,89
27,42
127,100
78,78
72,77
106,100
96,65
61,67
20,44
92,66
105,86
92,67
93,70
88,57
64,98
29,56
52,75
74,75
65,59
56,56
108,88
108,89
100,63
39,55
45,62
68,68
42,74
78,54
100,91
80,82
23,66
31,53
130,100
47,70
