potds,score
100,78
84,75
73,66
63,100
93,88
43,54
73,87
103,72
58,77
77,73
99,87
20,45
83,74
85,100
84,76
34,70
77,39
124,100
60,44
43,75
53,77
34,63
67,89
98,74
82,92
48,74
80,89
74,64
48,54
16,40
61,54
47,72
49,87
39,46
112,97
79,80
103,82
103,78
103,100
91,65
88,53
86,85
69,65
65,45
104,89
70,63
61,91
65,48
53,74
88,80
100,95
71,90
45,74
103,92
30,49
49,66
39,59
69,78
77,95
80,84
24,45
104,77
120,89
77,75
93,65
87,86
85,58
60,72
69,67
112,74
39,59
66,86
91,76
81,59
84,91
90,100
97,93
60,85
112,80
36,61
61,71
88,55
86,61
80,84
78,100
54,62
112,77
41,43
88,81
43,61
48,61
90,75
59,45
82,59
66,88
127,100
90,77
108,100
74,69
78,58
71,94
63,88
92,93
128,100
81,100
70,94
84,51
40,60
37,42
117,77
57,92
102,64
53,90
90,100
40,59
105,88
53,58
117,90
63,71
122,96
26,37
73,64
111,95
58,46
116,90
126,100
74,90
74,100
102,90
83,65
54,74
104,100
92,72
63,42
101,74
82,94
104,85
115,88
52,71
69,67
62,84
79,86
122,85
113,94
56,68
86,73
73,81
66,100
62,82
48,81
32,58
113,100
36,53
49,84
57,82
60,55
51,85
97,96
99,100
114,97
38,65
73,83
62,80
127,100
69,98
116,80
45,62
56,60
103,100
111,92
78,65
50,47
66,88
67,64
86,79
48,72
108,84
87,72
71,100
77,54
82,74
51,49
41,65
89,74
120,93
89,100
19,37
59,80
102,82
77,100
85,65
103,76
59,97
72,89
94,80
89,100
38,70
48,45
123,100
87,74
97,63
67,84
125,96
83,82
87,95
104,100
67,99
52,93
63,82
67,100
89,100
130,100
45,59
106,83
53,82
54,40
49,68
80,100
61,79
42,78
104,100
64,85
106,88
27,41
72,70
70,75
94,69
80,59
68,69
95,92
100,84
59,76
27,51
63,78
40,77
97,70
39,70
92,65
49,60
54,60
12,35
91,100
104,89
109,80
59,48
96,60
45,52
103,84
74,91
46,62
52,81
85,68
47,47
116,79
59,54
89,65
125,82
99,67
101,83
107,72
102,84
68,50
65,68
31,41
93,76
50,50
79,77
92,68
52,95
72,66
61,82
45,60
87,74
51,80
51,42
84,78
28,63
121,88
126,92
88,66
93,95
94,66
58,75
48,78
71,100
102,97
49,50
66,96
81,65
88,67
66,44
89,73
101,96
114,94
86,50
123,86
69,74
32,61
91,90
49,74
45,85
129,90
56,65
94,71
64,62
79,89
94,90
59,78
78,84
38,71
57,74
98,85
75,100
53,69
107,83
107,97
58,40
114,98
75,64
118,78
86,90
59,74
52,53
91,57
67,60
61,64
68,96
112,82
37,60
124,99
43,70
50,69
92,88
77,45
66,82
85,79
115,88
51,47
89,95
65,62
106,100
64,70
69,76
89,88
88,88
89,94
64,80
87,74
92,71
100,100
59,64
52,66
45,48
68,72
83,50
109,100
103,75
83,68
108,97
100,78
58,67
46,57
106,83
61,71
104,90
76,78
98,88
95,75
120,90
114,88
84,73
66,45
93,79
63,100
47,77
72,71
38,59
114,86
108,100
85,58
37,62
62,95
108,77
94,83
53,84
78,59
35,62
52,82
75,50
65,58
115,90
96,71
78,71
61,100
58,54
94,71
60,73
76,100
62,73
69,79
118,83
84,57
44,61
63,88
105,84
74,89
97,97
86,65
40,59
95,64
16,50
64,70
108,97
96,73
80,71
107,89
93,68
32,62
55,59
65,73
100,55
104,79
115,87
76,86
89,85
86,79
61,100
84,70
45,67
83,84
34,66
54,61
75,78
72,83
100,100
48,73
71,89
64,100
86,73
45,77
63,100
99,72
95,49
49,72
104,95
76,100
68,81
73,96
64,80
89,74
81,94
75,82
112,96
88,75
81,67
87,63
69,72
59,78
86,67
47,62
63,68
57,100
81,98
69,77
90,65
41,63
65,86
120,100
65,80
57,96
70,67
113,100
111,100
106,100
105,98
71,77
71,76
102,73
59,77
58,74
61,85
93,66
73,86
106,87
53,56
87,100
113,100
41,58
80,100
81,64
59,89
92,97
90,57
49,68
60,65
125,100
78,49
40,59
78,83
57,76
55,74
126,100
50,83
66,64
92,78
66,72
66,76
73,82
116,84
27,59
113,83
116,93
100,100
84,94
63,100
108,94
51,71
57,81
78,82
88,71
69,70
110,100
53,69
82,86
79,100
86,76
58,58
131,97
84,88
89,85
105,94
107,100
87,100
88,73
101,74
79,100
76,77
61,58
77,99
61,98
50,70
99,86
29,63
43,50
67,93
107,77
57,100
50,72
101,85
94,63
112,100
76,100
104,79
80,89
74,71
108,69
70,81
128,100
103,98
45,58
87,90
72,89
54,74
38,61
129,100
95,93
92,99
62,99
41,78
121,100
73,76
58,73
87,93
88,67
72,100
66,63
53,85
86,100
58,79
83,70
22,46
117,91
108,98
88,89
114,94
50,57
60,82
100,85
94,61
56,84
100,72
84,85
87,88
73,57
113,94
91,100
43,75
110,100
84,79
70,89
59,63
87,93
78,83
21,53
59,84
50,82
47,48
48,92
46,61
20,49
