potds,score
70,65
91,92
106,91
54,89
124,95
50,79
94,86
92,93
76,75
61,71
101,99
81,100
103,91
77,70
81,90
78,53
103,88
100,78
60,91
74,100
97,100
68,81
67,80
45,52
52,89
70,72
52,92
88,93
112,100
60,69
14,40
69,89
39,70
60,42
112,85
25,57
98,78
87,91
98,72
60,86
81,74
113,100
113,98
48,67
90,84
70,91
100,91
78,71
61,72
67,77
57,77
73,92
32,65
107,100
71,44
70,100
91,100
62,70
127,98
71,95
91,64
71,55
90,100
41,72
77,59
113,86
118,80
103,97
107,69
77,82
116,89
86,64
81,72
83,91
62,57
89,91
74,100
42,72
69,58
83,84
64,54
63,86
83,92
112,80
72,52
71,58
120,87
79,71
41,73
34,55
48,85
66,72
72,100
88,73
101,70
71,68
72,82
98,100
96,90
51,86
106,100
50,61
53,89
108,91
115,89
93,91
70,73
52,74
45,47
126,100
53,87
127,100
118,100
62,100
49,81
52,89
48,86
121,76
28,45
54,55
53,74
109,77
85,95
70,67
40,49
88,100
40,51
60,92
38,56
77,88
111,99
87,61
67,56
75,70
86,98
81,60
78,92
76,70
107,76
100,81
71,59
92,66
105,86
92,67
65,59
108,89
42,74
78,54
31,53
130,100
47,70
