potds,score
28,51
81,94
33,28
56,38
118,79
53,35
110,89
112,90
34,37
101,100
65,63
21,55
42,64
125,100
83,91
66,53
30,61
68,67
60,43
11,41
79,62
91,56
95,80
74,75
60,75
90,71
117,90
80,53
78,83
61,52
84,68
96,96
86,92
71,71
79,54
77,100
83,86
99,67
74,65
49,28
79,71
109,95
43,78
94,74
111,97
80,94
78,66
45,65
90,100
7,36
39,55
75,60
69,51
130,100
4,30
27,65
114,91
61,33
117,98
106,100
47,77
46,76
35,44
130,99
95,84
64,62
37,41
28,34
77,51
50,70
90,100
68,92
77,69
116,100
118,88
62,92
97,71
49,57
32,50
98,92
8,43
100,100
56,79
99,55
112,92
101,65
75,66
70,96
42,71
75,69
94,59
85,77
90,84
64,75
72,80
51,64
37,60
16,42
67,81
76,50
109,77
89,67
93,67
69,96
21,42
47,69
68,64
111,84
113,90
82,81
86,81
92,68
101,77
108,87
47,44
71,93
70,100
88,78
27,43
87,61
27,42
112,96
60,53
29,56
56,56
59,54
117,94
60,57
110,81
