potds,score
73,90
85,100
77,38
124,100
34,54
98,69
61,34
112,99
65,42
71,96
30,65
93,51
88,50
78,100
66,90
81,100
57,77
53,84
40,51
122,100
58,41
116,77
104,94
82,82
115,85
60,56
51,86
38,58
56,56
78,67
67,53
48,77
108,91
87,66
89,72
19,27
59,100
102,76
94,89
52,79
106,66
70,85
27,50
63,92
39,61
96,51
45,37
103,73
74,91
89,63
99,71
92,49
72,47
87,78
51,28
58,64
66,26
56,62
64,80
59,62
75,100
59,65
68,81
124,100
50,81
66,98
115,97
51,56
69,59
59,76
120,100
66,40
93,88
38,79
94,91
53,78
78,41
61,100
94,80
60,83
105,100
95,55
104,69
76,70
84,68
86,72
76,81
73,100
47,66
111,100
71,81
61,91
53,36
113,100
90,64
60,47
55,80
66,67
113,64
116,83
110,100
86,64
84,100
77,100
61,100
29,56
50,76
101,100
108,81
70,66
45,46
92,100
62,94
58,67
86,89
22,49
100,69
78,80
48,73
46,63
86,49
88,100
87,68
45,71
101,100
80,65
62,100
71,70
82,71
61,84
109,97
127,100
78,91
72,70
106,81
96,67
61,82
93,78
52,69
74,83
108,100
100,67
39,46
45,73
68,84
80,79
