potds,score
72,71
77,66
36,81
100,90
95,89
84,89
73,79
63,94
74,95
75,98
93,100
43,83
43,61
63,76
70,87
80,84
101,92
45,78
63,86
73,91
116,90
34,57
103,82
73,84
28,52
55,81
55,77
73,76
58,81
77,76
94,85
99,98
89,102
91,87
86,95
20,58
83,71
97,94
83,66
88,62
85,102
84,92
86,73
34,81
81,81
77,63
25,64
74,88
124,96
33,62
110,68
60,65
43,84
53,83
34,77
67,87
75,81
98,94
83,76
82,86
84,91
48,82
86,76
80,89
74,75
48,81
101,93
16,65
61,68
47,92
48,65
49,90
84,75
39,62
112,97
46,70
79,84
53,60
99,99
56,50
106,100
93,77
87,73
103,89
103,85
103,91
91,77
99,78
74,98
99,82
95,94
102,98
88,67
79,69
77,88
86,88
69,104
66,69
120,103
78,80
69,74
94,82
65,74
104,95
54,88
113,86
124,102
70,88
61,84
100,75
50,78
65,80
53,79
94,92
118,94
88,78
100,85
62,85
71,89
45,83
103,94
30,72
49,81
39,66
69,80
92,93
75,92
77,88
76,90
77,86
80,92
112,101
61,69
61,74
61,82
107,87
71,81
43,85
58,61
38,79
87,91
24,73
29,60
101,90
104,108
77,57
69,91
104,83
120,103
64,82
64,87
81,98
113,86
115,106
65,84
77,83
85,80
93,75
87,88
53,49
103,86
77,84
85,61
81,96
35,77
59,87
108,96
60,68
94,94
69,78
120,79
110,98
112,76
64,88
74,76
78,81
49,74
92,95
39,79
65,71
97,80
31,56
37,61
66,77
31,63
112,91
91,74
54,81
78,65
103,93
81,80
84,94
90,96
97,93
81,64
114,92
60,92
34,65
112,95
36,70
99,93
61,81
88,64
58,51
100,97
82,89
60,91
101,86
86,84
80,85
76,98
69,85
72,85
74,98
91,85
97,103
78,93
54,80
65,72
70,53
71,64
109,79
112,89
41,74
102,91
86,94
124,97
88,93
72,68
21,56
43,84
42,74
121,72
125,98
68,95
72,83
48,66
67,71
96,86
74,75
68,90
90,70
59,71
88,75
67,83
98,85
82,70
49,88
35,72
45,76
75,96
66,81
127,101
90,79
108,102
74,83
71,99
86,74
82,76
83,87
53,83
69,63
83,80
78,82
64,82
66,70
71,91
63,97
61,71
67,84
102,89
121,99
122,101
40,72
46,65
60,74
94,75
92,86
128,98
105,89
81,99
70,94
30,59
56,71
84,71
57,63
34,79
16,57
40,74
37,69
117,79
56,95
48,83
57,88
68,75
60,58
102,79
81,84
53,85
90,97
40,69
74,78
115,98
101,85
11,64
72,81
54,74
105,79
78,73
53,78
73,63
66,67
117,97
41,64
52,72
85,84
129,91
63,73
122,100
26,64
79,70
73,72
56,88
66,75
57,90
3,54
70,70
91,83
114,88
111,90
115,96
78,96
95,96
58,61
52,89
112,99
71,100
116,96
90,96
126,87
43,54
45,78
17,71
74,98
74,92
102,95
31,74
64,84
83,82
85,80
32,49
54,84
86,75
115,83
104,90
86,87
92,90
67,71
91,71
80,86
63,85
63,59
54,73
101,94
95,63
74,65
67,93
67,79
58,61
82,95
104,104
115,90
52,66
60,64
69,84
63,97
62,92
65,55
79,81
87,93
122,85
113,90
88,92
56,82
112,86
55,69
73,87
86,86
73,77
66,94
62,68
43,81
109,103
60,85
14,44
62,97
101,95
48,89
80,79
34,77
32,69
90,95
113,105
50,80
82,89
70,81
36,73
49,84
