potds,score
100,90
84,89
73,79
63,94
93,100
43,83
73,91
103,82
58,81
77,76
99,98
20,58
83,71
85,102
84,92
34,81
77,63
124,96
60,65
43,84
53,83
34,77
67,87
98,94
82,86
48,82
80,89
74,75
48,81
16,65
61,68
47,92
49,90
39,62
112,97
79,84
103,89
103,85
103,91
91,77
88,67
86,88
69,74
65,74
104,95
70,88
61,84
65,80
53,79
88,78
100,85
71,89
45,83
103,94
30,72
49,81
39,66
69,80
77,86
80,92
24,73
104,83
120,103
77,83
93,75
87,88
85,61
60,68
69,78
112,76
39,79
66,77
91,74
81,80
84,94
90,96
97,93
60,92
112,95
36,70
61,81
88,64
86,84
80,85
78,93
54,80
112,89
41,74
88,93
43,84
48,66
90,70
59,71
82,70
66,81
127,101
90,79
108,102
74,83
78,82
71,91
63,97
92,86
128,98
81,99
70,94
84,71
40,74
37,69
117,79
57,88
102,79
53,85
90,97
40,69
105,79
53,78
117,97
63,73
122,100
26,64
73,72
111,90
58,61
116,96
126,87
74,98
74,92
102,95
83,82
54,84
104,90
92,90
63,59
101,94
82,95
104,104
115,90
52,66
69,84
62,92
79,81
122,85
113,90
56,82
86,86
73,77
66,94
62,97
48,89
32,69
113,105
36,73
49,84
57,68
60,68
51,85
97,96
99,107
114,100
38,69
73,91
62,69
127,96
69,93
116,96
45,65
56,69
103,102
111,86
78,86
50,79
66,87
67,78
86,93
48,86
108,97
87,87
71,93
77,75
82,83
51,63
41,78
89,74
120,96
89,95
19,64
59,82
102,78
77,95
85,75
103,79
59,91
72,90
94,87
89,98
38,70
48,74
123,96
87,85
97,96
67,71
125,107
83,94
87,95
104,103
67,88
52,91
63,94
67,95
89,101
130,97
45,72
106,89
53,90
54,64
49,67
80,96
61,81
42,77
104,96
64,88
106,91
27,60
72,88
70,88
94,86
80,78
68,79
95,96
100,93
59,80
27,68
63,88
40,76
97,84
39,78
92,76
49,67
54,67
12,49
91,92
104,89
109,90
59,78
96,75
45,68
103,92
74,94
46,77
52,86
85,83
47,55
116,83
59,60
89,84
125,92
99,77
101,87
107,83
102,92
68,63
65,76
31,71
93,87
50,73
79,86
92,80
52,88
72,70
61,85
45,56
87,78
51,92
51,57
84,88
28,71
121,92
126,86
88,71
93,80
94,74
58,74
48,90
71,94
102,95
49,71
66,99
81,88
88,86
66,52
89,81
101,97
114,100
86,74
123,97
69,89
32,64
91,100
49,84
45,82
129,102
56,75
94,86
64,86
79,83
94,101
59,81
78,76
38,72
57,69
98,94
75,93
53,66
107,100
107,101
58,61
114,96
75,89
118,96
86,86
59,79
52,81
91,70
67,84
61,77
68,87
112,94
37,66
124,98
43,90
50,79
92,90
77,72
66,88
85,96
115,95
51,74
89,94
65,81
106,96
64,88
69,86
89,76
88,82
89,85
64,81
87,72
92,85
100,106
59,81
52,65
45,60
68,82
83,69
109,104
103,88
83,82
108,94
100,89
58,82
46,77
106,92
61,83
104,90
76,89
98,98
95,84
120,95
114,83
84,96
66,68
93,77
63,89
47,85
72,73
38,78
114,93
108,95
85,58
37,72
62,86
108,89
94,99
53,84
78,79
35,83
52,76
75,78
65,71
115,98
96,90
78,77
61,98
58,76
94,89
60,91
76,99
62,64
69,76
118,81
84,83
44,72
63,88
105,90
74,90
97,91
86,91
40,72
95,87
16,56
64,82
108,98
96,86
80,81
107,92
93,75
32,87
55,80
65,91
100,68
104,97
115,97
76,85
89,90
86,89
61,88
84,83
45,84
83,93
34,76
54,83
75,82
72,86
100,101
48,85
71,88
64,84
86,80
45,80
63,99
99,76
95,79
49,77
104,96
76,84
68,93
73,92
64,89
89,87
81,92
75,80
112,93
88,87
81,78
87,86
69,87
59,84
86,76
47,74
63,77
57,83
81,102
69,90
90,80
41,81
65,96
120,96
65,74
57,91
70,83
113,102
111,103
106,96
105,101
71,82
71,80
102,86
59,73
58,73
61,89
93,82
73,89
106,98
53,77
87,99
113,101
41,86
80,100
81,79
59,78
92,101
90,75
49,76
60,80
125,105
78,80
40,76
78,79
57,78
55,76
126,94
50,89
66,77
92,90
66,87
66,86
73,80
116,91
27,76
113,88
116,88
100,88
84,95
63,92
108,100
51,80
57,87
78,96
88,89
69,83
110,85
53,70
82,93
79,91
86,76
58,71
131,96
84,90
89,91
105,92
107,98
87,97
88,67
101,78
79,90
76,78
61,78
77,104
61,98
50,74
99,96
29,77
43,72
67,88
107,88
57,90
50,75
101,94
94,80
112,89
76,87
104,90
80,90
74,93
108,91
70,84
128,104
103,86
45,75
87,86
72,95
54,89
38,70
129,94
95,86
92,104
62,97
41,83
121,98
73,89
58,81
87,88
88,83
72,98
66,80
53,94
86,93
58,80
83,88
22,66
117,95
108,94
88,93
114,101
50,76
60,88
100,94
94,68
56,92
100,91
84,95
87,93
73,68
113,94
91,101
43,87
110,102
84,80
70,85
59,79
87,86
78,79
21,67
59,84
50,67
47,63
48,83
46,69
20,61
86,78
88,85
119,94
79,68
87,80
80,100
45,85
104,90
64,83
28,76
103,96
101,98
43,78
87,74
84,88
92,101
80,78
62,86
62,91
46,79
50,83
64,81
82,74
79,81
68,91
33,70
95,100
95,90
79,68
93,94
119,97
102,88
84,84
78,64
79,83
77,93
60,78
74,91
71,85
53,74
71,77
87,99
86,82
52,87
44,87
66,75
82,65
56,82
44,85
108,95
61,75
29,64
69,72
109,93
80,74
32,68
127,98
99,88
70,77
78,90
72,81
106,94
96,95
61,87
101,82
45,62
49,76
104,99
74,94
30,72
51,78
93,94
57,88
91,94
52,91
74,80
124,96
98,83
82,63
82,66
94,92
108,101
100,83
114,96
56,78
65,73
77,97
39,72
45,84
81,85
68,83
95,83
79,94
82,85
95,92
80,76
81,83
51,94
