potds,score
73,91
85,102
77,63
124,96
34,77
98,94
61,68
112,97
65,74
71,89
30,72
93,75
88,64
78,93
66,81
81,99
57,88
53,85
40,69
122,100
58,61
116,96
104,90
82,95
115,90
60,68
51,85
38,69
56,69
78,86
67,78
48,86
108,97
87,87
89,74
19,64
59,82
102,78
94,87
52,91
106,89
70,88
27,68
63,88
39,78
96,75
45,68
103,92
74,94
89,84
99,77
92,80
72,70
87,78
51,57
58,74
66,52
56,75
64,86
59,81
75,93
59,79
68,87
124,98
50,79
66,88
115,95
51,74
69,86
59,81
120,95
66,68
93,77
38,78
94,99
53,84
78,79
61,98
94,89
60,91
105,90
95,87
104,97
76,85
84,83
86,80
76,84
73,92
47,74
111,103
71,82
61,89
53,77
113,101
90,75
60,80
55,76
66,77
113,88
116,88
110,85
86,76
84,90
77,104
61,98
29,77
50,75
101,94
108,91
70,84
45,75
92,104
62,97
58,81
86,93
22,66
100,94
78,79
48,83
46,69
86,78
88,85
87,80
45,85
101,98
80,78
62,86
71,85
82,65
61,75
109,93
127,98
78,90
72,81
106,94
96,95
61,87
93,94
52,91
74,80
108,101
100,83
39,72
45,84
68,83
80,76
